Descricao,Valor
kWh fornecido (EnergyMeter kWh),16872564.0
kWh da carga (Zone kWh),15124884.0
Zone losses (Zone Losses kWh),971538.0
Perdas na linha MT (Line Losses kWh),30773.0
Perdas nos trafos (Transformer Losses kWh),940749.0
Perdas em vazio ferro (No Load Losses kWh),892898.0
Perdas em carga cobre (Transformer - NoLoad) kWh,47851.0
