MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,4546,2280,1233267.0,114199.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1233267.0,114199.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,1050.0,149290.64,190015.2,27369.04,72628.5,0.0,0.0,184990.05,17129.85,0.0,0.0,456308.79,67377.41,1165109.48
FEV,5318,2582,1325254.0,120239.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1325254.0,120239.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,748.0,174643.12,215183.88,6324.32,51739.16,0.0,0.0,198788.1,18035.85,0.0,0.0,490343.98,70941.01,1225999.42
MAR,5477,3054,1421935.0,137177.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1421935.0,137177.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,276.0,179864.68,254520.36,1989.98,19090.92,0.0,0.0,213290.25,20576.55,0.0,0.0,526115.95,80934.43,1296383.12
ABR,3683,2330,1056831.0,116822.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1056831.0,116822.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.0,1000.0,120949.72,194182.2,50894.42,69170.0,0.0,0.0,158524.65,17523.3,0.0,0.0,391027.47,68924.98,1071196.74
MAI,3629,2780,1131591.0,128315.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1131591.0,128315.0,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,550.0,119176.36,231685.2,52366.46,38043.5,0.0,0.0,169738.65,19247.25,0.0,0.0,418688.67,75705.85,1124651.94
JUN,4749,2935,1313456.0,138979.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1313456.0,138979.0,0.0,0.0,0.0,0.0,0.0,0.0,801.0,395.0,155957.16,244602.9,21835.26,27322.15,0.0,0.0,197018.4,20846.85,0.0,0.0,485978.72,81997.61,1235559.05
JUL,4660,3518,1283487.0,141345.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1283487.0,141345.0,0.0,0.0,0.0,0.0,0.0,188.0,890.0,0.0,153034.4,293190.12,24261.4,0.0,0.0,31335.84,192523.05,21201.75,0.0,0.0,474890.19,83393.55,1273830.3
AGO,3672,2632,1185957.0,131779.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1185957.0,131779.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,698.0,120588.48,219350.88,51194.28,48280.66,0.0,0.0,177893.55,19766.85,0.0,0.0,438804.09,77749.61,1153628.4
SET,3058,2308,1079706.0,129706.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1079706.0,129706.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.0,1022.0,100424.72,192348.72,67931.92,70691.74,0.0,0.0,161955.9,19455.9,0.0,0.0,399491.22,76526.54,1088826.66
OUT,3996,2452,1093698.0,133696.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1093698.0,133696.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.0,878.0,131228.64,204349.68,42362.04,60731.26,0.0,0.0,164054.7,20054.4,0.0,0.0,404668.26,78880.64,1106329.62
NOV,5384,3252,1182600.0,122444.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1182600.0,122444.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,78.0,176810.56,271021.68,4525.16,5395.26,0.0,0.0,177390.0,18366.6,0.0,0.0,437562.0,72241.96,1163313.22
DEZ,5349,3036,1209916.0,124265.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1209916.0,124265.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,294.0,175661.16,253020.24,5479.26,20335.98,0.0,0.0,181487.4,18639.75,0.0,0.0,447668.92,73316.35,1175609.06
TOTAIS,5477,3518,14517698.0,1538966.0,0.0,0.0,,,,,0.0,0.0,14517698.0,1538966.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,14080437.010000002
