MES,R$SIM2,R$SIM25,Economia_R$,Economia_%
JAN,1128292.66,914988.54,213304.12,18.905
FEV,1195764.83,938731.42,257033.41,21.495
MAR,1273832.45,999566.26,274266.19,21.531
ABR,1015371.32,795188.48,220182.84,21.685
MAI,1051258.3,825016.68,226241.62,21.521
JUN,1144916.86,911695.26,233221.6,20.37
JUL,1189511.26,915436.6,274074.66,23.041
AGO,1082950.95,858885.92,224065.03,20.69
SET,1031786.29,812477.4,219308.89,21.255
OUT,1058766.29,836014.0,222752.29,21.039
NOV,1163254.84,884961.9,278292.94,23.924
DEZ,1154141.31,894173.74,259967.57,22.525
TOTAIS,13489847.359999998,10587136.200000001,2902711.1599999997,21.517746513626975
