Mes,Posto,N_pontos_SIM19,Consumo_P_SIM19_kWh,Consumo_Q_SIM19_kVArh,DemandaMax_P_SIM19_kW,DemandaMax_Q_SIM19_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1593776.16625,189467.549875,5160.030000000001,679.399,2712
JANEIRO,PONTA,264,-2.161402624999999,18976.604725,0.2364129999999999,534.15,264
FEVEREIRO,FORA_PONTA,2448,1647589.1882500001,194740.37376682452,5604.85,697.74,2448
FEVEREIRO,PONTA,240,-3.319031649999999,20134.644275,0.2224429999999999,587.228,240
MARCO,FORA_PONTA,2736,1773552.0735,197040.64217500002,5605.47,627.206,2736
MARCO,PONTA,240,-3.0942505249999988,20349.689775,0.239407,503.881,240
ABRIL,FORA_PONTA,2640,1358640.6905,131787.71885,4477.01,391.676,2640
ABRIL,PONTA,240,-1.6992962499999993,14175.0999,0.2181719999999999,417.054,240
MAIO,FORA_PONTA,2724,1421121.04525,120416.424725,4482.53,438.61,2724
MAIO,PONTA,252,-2.7032952999999984,14179.3793,0.242565,314.569,252
JUNHO,FORA_PONTA,2640,1598182.75795,106784.16007,4908.9,322.786,2640
JUNHO,PONTA,240,-2.476178174999999,13608.71885,0.261291,304.077,240
JULHO,FORA_PONTA,2700,1597595.08625,96775.27,5166.0,311.998,2700
JULHO,PONTA,276,4.274931300000001,13350.806675,26.391670000000005,394.617,276
AGOSTO,FORA_PONTA,2724,1492504.993,101646.88905,4484.0,327.973,2724
AGOSTO,PONTA,252,-0.7181950249999998,13925.890825,0.2366319999999999,336.749,252
SETEMBRO,FORA_PONTA,2616,1397642.791,109858.58105,4482.200000000001,358.381,2616
SETEMBRO,PONTA,264,-1.0955502499999992,14804.30205,0.2279079999999999,318.996,264
OUTUBRO,FORA_PONTA,2700,1437353.341775,129963.0582225,4483.9400000000005,483.26,2700
OUTUBRO,PONTA,276,-1.7363264749999991,17147.911075,0.221712,422.171,276
NOVEMBRO,FORA_PONTA,2652,1531242.403,148865.3942,5605.4400000000005,583.817,2652
NOVEMBRO,PONTA,228,-2.916670074999999,17456.136525,0.2424179999999999,603.386,228
DEZEMBRO,FORA_PONTA,2712,1552227.842,166475.56915,5603.97,620.308,2712
DEZEMBRO,PONTA,264,-2.845022199999999,20490.114275,0.300026,617.8919999999999,264
