MES,R$SIM2,R$SIM6,Economia_R$,Economia_%
JAN,,1064535.82,,
FEV,,1132294.68,,
MAR,,1210833.44,,
ABR,,950967.62,,
MAI,,987165.29,,
JUN,,1080187.74,,
JUL,,1129986.2,,
AGO,,1018866.91,,
SET,,966787.04,,
OUT,,994088.13,,
NOV,,1122865.18,,
DEZ,,1090504.34,,
TOTAIS,0.0,12749082.389999999,0.0,
