MES,R$SIM2,R$SIM8,Economia_R$,Economia_%
JAN,,1064383.55,,
FEV,,1132164.35,,
MAR,,1210683.3,,
ABR,,950841.51,,
MAI,,987050.03,,
JUN,,1080062.95,,
JUL,,1130573.14,,
AGO,,1018736.1,,
SET,,966648.19,,
OUT,,993941.06,,
NOV,,1122978.48,,
DEZ,,1090379.4,,
TOTAIS,0.0,12748442.06,0.0,
