MES,R$SIM2,R$SIM4,Economia_R$,Economia_%
JAN,,1064437.36,,
FEV,,1132208.6,,
MAR,,1210744.32,,
ABR,,950882.14,,
MAI,,987090.62,,
JUN,,1080103.46,,
JUL,,1130137.48,,
AGO,,1018778.05,,
SET,,966693.6,,
OUT,,993991.13,,
NOV,,1122783.18,,
DEZ,,1090426.19,,
TOTAIS,0.0,12748276.13,0.0,
