Cenario,Barra,R$TOTAL_ANO,Economia_R$_vs_SIM2,Economia_%_vs_SIM2
SIM3_16,16,12748765.840000002,741081.5199999977,5.493624206582555
SIM4_700,700,12748276.13,741571.2299999986,5.4972544181552445
SIM5_1250,1250,12748636.83,741210.5299999993,5.494580555431869
SIM6_1630,1630,12749082.39,740764.9699999988,5.491277627028678
SIM7_1950,1950,12750132.78,739714.5800000001,5.483491104527962
SIM8_2220,2220,12748442.06,741405.2999999989,5.496024381998633
SIM9_2380,2380,12748146.7,741700.6600000001,5.498213880457134
