MES,R$SIM2,R$SIM5,Economia_R$,Economia_%
JAN,,1064498.5,,
FEV,,1132261.66,,
MAR,,1210800.2,,
ABR,,950934.9,,
MAI,,987130.27,,
JUN,,1080140.85,,
JUL,,1129947.84,,
AGO,,1018818.68,,
SET,,966750.98,,
OUT,,994050.51,,
NOV,,1122833.94,,
DEZ,,1090468.5,,
TOTAIS,0.0,12748636.83,0.0,
