MES,R$SIM2,R$SIM3,Economia_R$,Economia_%
JAN,,1064360.61,,
FEV,,1132145.41,,
MAR,,1210682.45,,
ABR,,950824.29,,
MAI,,987045.42,,
JUN,,1080060.34,,
JUL,,1130796.42,,
AGO,,1018730.45,,
SET,,966628.37,,
OUT,,993921.38,,
NOV,,1123212.46,,
DEZ,,1090358.24,,
TOTAIS,0.0,12748765.840000002,0.0,
