Descricao,Valor
kWh fornecido (EnergyMeter kWh),16194944.0
kWh da carga (Zone kWh),15085485.0
Zone losses (Zone Losses kWh),885768.0
Perdas na linha MT (Line Losses kWh),27360.0
Perdas nos trafos (Transformer Losses kWh),858423.0
Perdas em vazio ferro (No Load Losses kWh),820254.0
Perdas em carga cobre (Transformer - NoLoad) kWh,38169.0
