segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,soc_inicial_m5_pct,soc_final_m5_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv,monitor_bessm5_csv
233,PONTA,4097.75,12,100.0,71.0791,100.0,58.6019,100.0,59.7112,100.0,60.4189,100.0,60.7629,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00233_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00233_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00233_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00233_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00233_PONTA.csv
234,FORA_PONTA,4100.75,276,71.0791,100.0,58.6019,100.0,59.7112,100.0,60.4189,100.0,60.7629,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00234_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00234_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00234_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00234_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00234_FORA_PONTA.csv
235,PONTA,4169.75,12,100.0,54.3654,100.0,34.6114,100.0,36.3279,100.0,37.4243,100.0,37.9567,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00235_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00235_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00235_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00235_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00235_PONTA.csv
236,FORA_PONTA,4172.75,84,54.3654,100.0,34.6114,100.0,36.3279,100.0,37.4243,100.0,37.9567,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00236_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00236_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00236_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00236_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00236_FORA_PONTA.csv
237,PONTA,4193.75,12,100.0,51.6844,100.0,30.7596,100.0,32.5715,100.0,33.7292,100.0,34.2912,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00237_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00237_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00237_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00237_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00237_PONTA.csv
238,FORA_PONTA,4196.75,84,51.6844,100.0,30.7596,100.0,32.5715,100.0,33.7292,100.0,34.2912,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00238_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00238_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00238_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00238_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00238_FORA_PONTA.csv
239,PONTA,4217.75,12,100.0,53.6345,100.0,33.5613,100.0,35.3038,100.0,36.4169,100.0,36.9573,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00239_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00239_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00239_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00239_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00239_PONTA.csv
240,FORA_PONTA,4220.75,84,53.6345,100.0,33.5613,100.0,35.3038,100.0,36.4169,100.0,36.9573,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00240_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00240_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00240_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00240_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00240_FORA_PONTA.csv
241,PONTA,4241.75,12,100.0,56.0886,100.0,37.0867,100.0,38.7415,100.0,39.7984,100.0,40.3116,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00241_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00241_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00241_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00241_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00241_PONTA.csv
242,FORA_PONTA,4244.75,84,56.0886,100.0,37.0867,100.0,38.7415,100.0,39.7984,100.0,40.3116,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00242_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00242_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00242_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00242_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 019 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM5_IN_s00242_FORA_PONTA.csv
