MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4995.0,0.0,1590735.0,-4,0.0,0.0,0.0,0.0,164035.8,0.0,0.0,0.0,0.0,0.0,238610.25,-0.6,588571.95,-2.36,991215.04
FEV,5044.0,0.0,1647655.0,-3,0.0,0.0,0.0,0.0,165644.96,0.0,0.0,0.0,0.0,0.0,247148.25,-0.45,609632.35,-1.77,1022423.34
MAR,5043.0,0.0,1773431.0,-3,0.0,0.0,0.0,0.0,165612.12,0.0,0.0,0.0,0.0,0.0,266014.65,-0.45,656169.47,-1.77,1087794.02
ABR,3922.0,0.0,1356600.0,-3,0.0,0.0,1073.0,0.0,128798.48,0.0,29249.98,0.0,0.0,0.0,203490.0,-0.45,501942.0,-1.77,863478.24
MAI,3923.0,0.0,1417076.0,-4,0.0,0.0,1072.0,0.0,128831.32,0.0,29222.72,0.0,0.0,0.0,212561.4,-0.6,524318.12,-2.36,894930.6
JUN,4906.0,0.0,1592072.0,-2,0.0,0.0,89.0,0.0,161113.04,0.0,2426.14,0.0,0.0,0.0,238810.8,-0.3,589066.64,-1.18,991415.14
JUL,5033.0,247.0,1595756.0,224,0.0,247.0,0.0,0.0,165283.72,20584.98,0.0,0.0,0.0,41169.96,239363.4,33.6,590429.72,132.16,1056997.54
AGO,3924.0,0.0,1489594.0,-2,0.0,0.0,1071.0,0.0,128864.16,0.0,29195.46,0.0,0.0,0.0,223439.1,-0.3,551149.78,-1.18,932647.02
SET,3923.0,0.0,1389023.0,-2,0.0,0.0,1072.0,0.0,128831.32,0.0,29222.72,0.0,0.0,0.0,208353.45,-0.3,513938.51,-1.18,880344.52
OUT,4374.0,0.0,1436863.0,-3,0.0,0.0,621.0,0.0,143642.16,0.0,16928.46,0.0,0.0,0.0,215529.45,-0.45,531639.31,-1.77,907737.16
NOV,5045.0,168.0,1530758.0,47,0.0,168.0,0.0,0.0,165677.8,14001.12,0.0,0.0,0.0,28002.24,229613.7,7.05,566380.46,27.73,1003710.1
DEZ,5037.0,0.0,1551461.0,-3,0.0,0.0,0.0,0.0,165415.08,0.0,0.0,0.0,0.0,0.0,232719.15,-0.45,574040.57,-1.77,972172.58
TOTAIS,5045.0,247.0,18371024.0,242,0.0,247.0,1073.0,0.0,1811749.9600000002,34586.1,136245.48,0.0,0.0,69172.2,2755653.6,36.300000000000004,6797278.88,142.77999999999997,11604865.299999999
CTOTAL,,,18371266.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,11604865.299999999
DCFP,4995.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
