MES,R$SIM2,R$SIM29,Economia_R$,Economia_%
JAN,1128292.66,890250.18,238042.48,21.098
FEV,1195764.83,917576.42,278188.41,23.264
MAR,1273832.45,976520.58,297311.87,23.34
ABR,1015371.32,776437.26,238934.06,23.532
MAI,1051258.3,804349.52,246908.78,23.487
JUN,1144916.86,890040.52,254876.34,22.262
JUL,1189511.26,893203.86,296307.4,24.91
AGO,1082950.95,836984.28,245966.67,22.713
SET,1031786.29,790025.82,241760.47,23.431
OUT,1058766.29,813917.62,244848.67,23.126
NOV,1163254.84,861326.72,301928.12,25.955
DEZ,1154141.31,872128.18,282013.13,24.435
TOTAIS,13489847.359999998,10322760.96,3167086.4,23.47755549400079
