MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4742.0,0.0,1511704.0,-1,0.0,0.0,0.0,0.0,155727.28,0.0,0.0,0.0,0.0,0.0,226755.6,-0.15,559330.48,-0.59,941812.62
FEV,4750.0,0.0,1563957.0,-1,0.0,0.0,0.0,0.0,155990.0,0.0,0.0,0.0,0.0,0.0,234593.55,-0.15,578664.09,-0.59,969246.9
MAR,4750.0,0.0,1683070.0,-2,0.0,0.0,0.0,0.0,155990.0,0.0,0.0,0.0,0.0,0.0,252460.5,-0.3,622735.9,-1.18,1031184.92
ABR,3704.0,0.0,1291163.0,-1,0.0,0.0,999.0,0.0,121639.36,0.0,27232.74,0.0,0.0,0.0,193674.45,-0.15,477730.31,-0.59,820276.12
MAI,3694.0,0.0,1350540.0,-3,0.0,0.0,1009.0,0.0,121310.96,0.0,27505.34,0.0,0.0,0.0,202581.0,-0.45,499699.8,-1.77,851094.88
JUN,4632.0,0.0,1514723.0,-3,0.0,0.0,71.0,0.0,152114.88,0.0,1935.46,0.0,0.0,0.0,227208.45,-0.45,560447.51,-1.77,941704.08
JUL,4746.0,0.0,1515924.0,-3,0.0,0.0,0.0,0.0,155858.64,0.0,0.0,0.0,0.0,0.0,227388.6,-0.45,560891.88,-1.77,944136.9
AGO,3694.0,0.0,1417356.0,-1,0.0,0.0,1009.0,0.0,121310.96,0.0,27505.34,0.0,0.0,0.0,212603.4,-0.15,524421.72,-0.59,885840.68
SET,3693.0,0.0,1323118.0,-1,0.0,0.0,1010.0,0.0,121278.12,0.0,27532.6,0.0,0.0,0.0,198467.7,-0.15,489553.66,-0.59,836831.34
OUT,4132.0,0.0,1366185.0,-2,0.0,0.0,571.0,0.0,135694.88,0.0,15565.46,0.0,0.0,0.0,204927.75,-0.3,505488.45,-1.18,861675.06
NOV,4749.0,0.0,1452770.0,-2,0.0,0.0,0.0,0.0,155957.16,0.0,0.0,0.0,0.0,0.0,217915.5,-0.3,537524.9,-1.18,911396.08
DEZ,4748.0,0.0,1474180.0,-2,0.0,0.0,0.0,0.0,155924.32,0.0,0.0,0.0,0.0,0.0,221127.0,-0.3,545446.6,-1.18,922496.44
TOTAIS,4750.0,0.0,17464690.0,-22,0.0,0.0,1010.0,0.0,1708796.56,0.0,127276.94,0.0,0.0,0.0,2619703.5,-3.2999999999999994,6461935.3,-12.98,10917696.02
CTOTAL,,,17464668.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,10917696.02
DCFP,4703.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,4703.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,3658.0,,,,,,,,,,,,,,,,,,
