MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3657,2175,986546.0,108196.0,12454.0,0.0,704,0,0.0,0.0,12454.0,0.0,974092.0,108196.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,1155.0,120095.88,181264.5,51603.18,79891.35,0.0,0.0,147981.9,16229.4,3611.66,0.0,361410.36,63835.64,1022312.21
FEV,4530,2483,1124975.0,115880.0,5097.0,0.0,585,0,0.0,0.0,5097.0,0.0,1119878.0,115880.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,847.0,148765.2,206933.22,27805.2,58586.99,0.0,0.0,168746.25,17382.0,1478.13,0.0,414762.62,68369.2,1111350.68
MAR,4931,2960,1207493.0,134248.0,6539.0,0.0,665,0,0.0,0.0,6539.0,0.0,1200954.0,134248.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,370.0,161934.04,246686.4,16873.94,25592.9,0.0,0.0,181123.95,20137.2,1896.31,0.0,444876.1,79206.32,1176430.85
ABR,3362,2336,899236.0,117159.0,16993.0,0.0,844,0,0.0,0.0,16993.0,0.0,882243.0,117159.0,0.0,0.0,0.0,0.0,0.0,0.0,2188.0,994.0,110408.08,194682.24,59644.88,68754.98,0.0,0.0,134885.4,17573.85,4927.97,0.0,327789.35,69123.81,982862.59
MAI,3533,2786,1016022.0,128670.0,11718.0,0.0,624,0,0.0,0.0,11718.0,0.0,1004304.0,128670.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,544.0,116023.72,232185.24,54983.42,37628.48,0.0,0.0,152403.3,19300.5,3398.22,0.0,372529.92,75915.3,1060969.88
JUN,4582,2941,1210678.0,139315.0,1733.0,0.0,435,0,0.0,0.0,1733.0,0.0,1208945.0,139315.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,389.0,150472.88,245102.94,26387.68,26907.13,0.0,0.0,181601.7,20897.25,502.57,0.0,447448.29,82195.85,1181013.72
JUL,4420,3524,1154070.0,141733.0,2957.0,0.0,661,0,0.0,0.0,2957.0,0.0,1151113.0,141733.0,0.0,0.0,0.0,0.0,0.0,194.0,1130.0,0.0,145152.8,293690.16,30803.8,0.0,0.0,32335.92,173110.5,21259.95,857.53,0.0,426148.37,83622.47,1206123.97
AGO,3396,2638,1047774.0,132133.0,11259.0,0.0,688,0,0.0,0.0,11259.0,0.0,1036515.0,132133.0,0.0,0.0,0.0,0.0,0.0,0.0,2154.0,692.0,111524.64,219850.92,58718.04,47865.64,0.0,0.0,157166.1,19819.95,3265.11,0.0,384411.27,77958.47,1077315.03
SET,2949,2314,912680.0,129563.0,5492.0,0.0,631,0,0.0,0.0,5492.0,0.0,907188.0,129563.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1016.0,96845.16,192848.76,70903.26,70276.72,0.0,0.0,136902.0,19434.45,1592.68,0.0,336098.92,76442.17,999751.44
OUT,3423,2458,894026.0,132022.0,8387.0,0.0,824,0,0.0,0.0,8387.0,0.0,885639.0,132022.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,872.0,112411.32,204849.72,57982.02,60316.24,0.0,0.0,134103.9,19803.3,2432.23,0.0,328357.39,77892.98,995716.87
NOV,4737,3055,947484.0,119887.0,11459.0,0.0,894,0,0.0,0.0,11459.0,0.0,936025.0,119887.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0,275.0,155563.08,254603.7,22162.38,19021.75,0.0,0.0,142122.6,17983.05,3323.11,0.0,347245.97,70733.33,1029435.86
DEZ,4464,2765,992789.0,120391.0,8948.0,0.0,660,0,0.0,0.0,8948.0,0.0,983841.0,120391.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,565.0,146597.76,230435.1,29604.36,39081.05,0.0,0.0,148918.35,18058.65,2594.92,0.0,364737.01,71030.69,1048462.97
TOTAIS,4931,3524,12393773.0,1519197.0,103036.0,0.0,,,,,103036.0,0.0,12290737.0,1519197.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12891746.069999998
