Mes,Posto,N_pontos_SIM33,Consumo_P_SIM33_kWh,Injecao_P_SIM33_kWh,Consumo_Q_SIM33_kVArh,DemandaMax_P_SIM33_kW,DemandaMax_Inj_SIM33_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,986545.85962425,12454.26305,171424.471325,3657.29,704.221,2712
JANEIRO,PONTA,264,108195.86325,0.0,13511.49285,2175.324,0.0,264
FEVEREIRO,FORA_PONTA,2448,1124974.8607725,5096.6342025,176394.041085,4530.11,585.06,2448
FEVEREIRO,PONTA,240,115880.4995,0.0,14292.81785,2482.934,0.0,240
MARCO,FORA_PONTA,2736,1207492.7653575,6539.000987903,176974.41195,4931.4,664.675,2736
MARCO,PONTA,240,134248.2405,0.0,13526.43865,2960.088,0.0,240
ABRIL,FORA_PONTA,2640,899235.6308405,16992.80588425,110971.778725,3361.66,843.539,2640
ABRIL,PONTA,240,117159.2435,0.0,8664.45175,2335.92,0.0,240
MAIO,FORA_PONTA,2724,1016022.30193,11717.62122575,95992.44155,3532.99,623.541,2724
MAIO,PONTA,252,128669.53125,0.0,8076.880175,2785.6040000000003,0.0,252
JUNHO,FORA_PONTA,2640,1210677.541836625,1733.02886,82421.0029275,4581.83,434.625,2640
JUNHO,PONTA,240,139315.05,0.0,6792.993725,2940.993,0.0,240
JULHO,FORA_PONTA,2700,1154069.710355,2957.2721215,71790.2162475,4420.07,660.898,2700
JULHO,PONTA,276,141733.03475,0.0,6524.7131,3523.78,0.0,276
AGOSTO,FORA_PONTA,2724,1047774.0798425,11258.6157775,78288.467515,3395.98,687.836,2724
AGOSTO,PONTA,252,132132.97225,0.0,7618.56744,2637.5910000000003,0.0,252
SETEMBRO,FORA_PONTA,2616,912679.59709775,5491.61422475,88621.342225,2948.798,630.61,2616
SETEMBRO,PONTA,264,129563.452,0.0,8693.05085,2313.722,0.0,264
OUTUBRO,FORA_PONTA,2700,894025.6215275,8386.9307685,109556.180925,3423.49,823.774,2700
OUTUBRO,PONTA,276,132022.18175,0.0,10793.9472,2457.875,0.0,276
NOVEMBRO,FORA_PONTA,2652,947483.584425,11459.234761,131431.482975,4736.83,894.4770000000001,2652
NOVEMBRO,PONTA,228,119886.70725,0.0,11406.747125,3054.94,0.0,228
DEZEMBRO,FORA_PONTA,2712,992788.543919675,8947.79307075,146774.186125,4464.26,660.124,2712
DEZEMBRO,PONTA,264,120390.8965,0.0,14395.337525,2764.847,0.0,264
