segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv
305,PONTA,5345.75,12,100.0,54.7763,100.0,34.9716,100.0,36.5488,100.0,37.5596,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00305_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00305_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00305_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00305_PONTA.csv
306,FORA_PONTA,5348.75,84,54.7763,100.0,34.9716,100.0,36.5488,100.0,37.5596,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00306_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00306_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00306_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00306_FORA_PONTA.csv
307,PONTA,5369.75,12,100.0,62.8269,100.0,46.5577,100.0,47.8593,100.0,48.6934,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00307_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00307_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00307_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00307_PONTA.csv
308,FORA_PONTA,5372.75,84,62.8269,100.0,46.5577,100.0,47.8593,100.0,48.6934,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00308_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00308_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00308_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00308_FORA_PONTA.csv
309,PONTA,5393.75,12,100.0,56.5329,100.0,37.503,100.0,39.0218,100.0,39.9952,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00309_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00309_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00309_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00309_PONTA.csv
310,FORA_PONTA,5396.75,84,56.5329,100.0,37.503,100.0,39.0218,100.0,39.9952,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00310_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00310_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00310_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00310_FORA_PONTA.csv
311,PONTA,5417.75,12,100.0,51.2715,100.0,29.9192,100.0,31.6121,100.0,32.6973,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00311_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00311_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00311_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00311_PONTA.csv
312,FORA_PONTA,5420.75,84,51.2715,100.0,29.9192,100.0,31.6121,100.0,32.6973,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00312_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00312_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00312_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00312_FORA_PONTA.csv
313,PONTA,5441.75,12,100.0,67.1502,100.0,52.7959,100.0,53.958,100.0,54.7022,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00313_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00313_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00313_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00313_PONTA.csv
314,FORA_PONTA,5444.75,276,67.1502,100.0,52.7959,100.0,53.958,100.0,54.7022,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00314_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00314_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00314_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00314_FORA_PONTA.csv
