Mes,Posto,N_pontos_SIM,Consumo_P_SIM_kWh,Consumo_Q_SIM_kVArh,DemandaMax_P_SIM_kW,DemandaMax_Q_SIM_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1265812.59725,113796.369025,4669.13,541.402,2712
JANEIRO,PONTA,264,108027.96625,9111.59515,2221.0730000000003,329.87,264
FEVEREIRO,FORA_PONTA,2448,1321674.44525,123969.9369995,5372.41,558.819,2448
FEVEREIRO,PONTA,240,112653.4405,10123.85405,2533.618,367.895,240
MARCO,FORA_PONTA,2736,1418811.6285,119940.301,5505.36,489.189,2736
MARCO,PONTA,240,127404.959,9409.85065,2862.276,252.3532,240
ABRIL,FORA_PONTA,2640,1061143.038,63152.11468396,3539.54,282.0131,2640
ABRIL,PONTA,240,107127.0675,5033.76104,2135.904,228.7525,240
MAIO,FORA_PONTA,2724,1105402.51325,50657.23022101,3503.05,325.09,2724
MAIO,PONTA,252,117649.3135,4344.60121215,2546.653,152.584,252
JUNHO,FORA_PONTA,2640,1260494.990225,39692.665893575,4441.01,213.358,2640
JUNHO,PONTA,240,127375.0155,3293.39473,2688.709,109.3429,240
JULHO,FORA_PONTA,2700,1246732.198,28585.62333600875,4675.9400000000005,200.239,2700
JULHO,PONTA,276,129590.571,2625.1548897,3221.6,138.1651,276
AGOSTO,FORA_PONTA,2724,1166401.71875,33450.20822924725,3506.26,189.9299,2724
AGOSTO,PONTA,252,120813.60745,3918.4677737,2411.472,178.212,252
SETEMBRO,FORA_PONTA,2616,1080894.16525,42872.29246265,3137.62,250.9169,2616
SETEMBRO,PONTA,264,119200.9425,4758.11948,2115.435,149.41629999999998,264
OUTUBRO,FORA_PONTA,2700,1112383.865575,59378.15006,3954.38,364.536,2700
OUTUBRO,PONTA,276,123658.01375,6521.66373,2335.733,239.3245,276
NOVEMBRO,FORA_PONTA,2652,1212973.063,78236.71941,5443.12,451.592,2652
NOVEMBRO,PONTA,228,113721.95325,7657.0536725,3145.48,319.64,228
DEZEMBRO,FORA_PONTA,2712,1227498.93025,92853.1602125,5351.34,488.311,2712
DEZEMBRO,PONTA,264,116135.679,9951.2494,2969.269,348.898,264
