Mes,Posto,N_pontos_SIM33,Consumo_P_SIM33_kWh,Injecao_P_SIM33_kWh,Consumo_Q_SIM33_kVArh,DemandaMax_P_SIM33_kW,DemandaMax_Inj_SIM33_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,995917.5806975,11009.165955,170791.5243,3687.74,657.562,2712
JANEIRO,PONTA,264,108462.16775,0.0,13506.71895,2175.324,0.0,264
FEVEREIRO,FORA_PONTA,2448,1132668.9242254677,4197.528455,175916.0103,4558.65,534.4680000000001,2448
FEVEREIRO,PONTA,240,116076.64475,0.0,14289.1304,2487.275,0.0,240
MARCO,FORA_PONTA,2736,1215520.54124125,5323.55495,176430.91455000002,4931.4,612.579,2736
MARCO,PONTA,240,134384.22475,0.0,13522.694725,2960.097,0.0,240
ABRIL,FORA_PONTA,2640,904909.007690625,15318.236081000001,110567.692925,3375.31,795.443,2640
ABRIL,PONTA,240,117159.2435,0.0,8664.45175,2335.92,0.0,240
MAIO,FORA_PONTA,2724,1020095.9518985,10373.52742225,95724.754125,3532.99,579.207,2724
MAIO,PONTA,252,128669.53125,0.0,8076.880175,2785.6040000000003,0.0,252
JUNHO,FORA_PONTA,2640,1214813.9843575,1401.0268125,82208.5962775,4589.06,389.855,2640
JUNHO,PONTA,240,139315.05,0.0,6792.993725,2940.993,0.0,240
JULHO,FORA_PONTA,2700,1159213.78238275,2477.8132025,71513.47603,4428.41,614.883,2700
JULHO,PONTA,276,141733.03475,0.0,6524.7131,3523.78,0.0,276
AGOSTO,FORA_PONTA,2724,1052710.0424575,9871.6338704,77960.700615,3407.83,640.2040000000001,2724
AGOSTO,PONTA,252,132132.97225,0.0,7618.56744,2637.5910000000003,0.0,252
SETEMBRO,FORA_PONTA,2616,919110.9377315,4674.8114145,88211.3263,2953.221,580.875,2616
SETEMBRO,PONTA,264,129584.95625,0.0,8692.511775,2313.722,0.0,264
OUTUBRO,FORA_PONTA,2700,901735.4158325,7388.610632,109054.736425,3447.5200000000004,772.4749999999999,2700
OUTUBRO,PONTA,276,132108.39275,0.0,10792.335575,2457.875,0.0,276
NOVEMBRO,FORA_PONTA,2652,956231.43503,9923.56704513,130817.445,4757.38,842.061,2652
NOVEMBRO,PONTA,228,120007.03225,0.0,11405.05795,3054.94,0.0,228
DEZEMBRO,FORA_PONTA,2712,1000736.393521,7440.3884175,146240.42832500002,4499.200000000001,607.137,2712
DEZEMBRO,PONTA,264,120568.29125,0.0,14392.842625,2764.853,0.0,264
