MES,R$SIM2,R$SIM35,Economia_R$,Economia_%
JAN,1128292.66,753435.7,374856.96,33.223
FEV,1195764.83,863987.09,331777.74,27.746
MAR,1273832.45,921166.12,352666.33,27.685
ABR,1015371.32,785045.25,230326.07,22.684
MAI,1051258.3,885104.33,166153.97,15.805
JUN,1144916.86,995526.05,149390.81,13.048
JUL,1189511.26,1010331.5,179179.76,15.063
AGO,1082950.95,885092.54,197858.41,18.27
SET,1031786.29,803314.72,228471.57,22.143
OUT,1058766.29,772009.98,286756.31,27.084
NOV,1163254.84,772684.24,390570.6,33.576
DEZ,1154141.31,802141.64,351999.67,30.499
TOTAIS,13489847.359999998,10249839.16,3240008.2,24.018123508255922
