Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM35,Consumo_P_SIM35_kWh,Injecao_P_SIM35_kWh,Consumo_Q_SIM35_kVArh,DemandaMax_P_SIM35_kW,DemandaMax_Inj_SIM35_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,645119.5168625,121914.7176795,182691.317375,2728.298,2200.9080000000004,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,89608.504485,0.0,13820.46385,1974.824,0.0,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,801277.0612985,72690.0594825,182060.1103773,3620.26,2240.564,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,98772.6825,0.0,14337.1124,2209.028,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,875550.1761125,95145.3908325,185636.550025,4455.5,2365.611,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,117308.40725,0.0,13626.8421,2681.264,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,676194.1761625,118663.22983952,123707.95365,2723.978,2391.107,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,106467.9425,0.0,9211.755225,2119.593,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,819901.629855,86725.31785475,107939.26425000001,3197.17,2092.442,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,116879.82825,0.0,8741.188,2524.261,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,971408.91716,22510.7228425,93429.380525,3910.01,1909.58,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,126411.96175,0.0,7477.706175,2664.223,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,920527.77936405,62185.729821,85866.50785,3737.45,2139.526,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,128736.469,0.0,7472.682975,3188.83,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,823177.28827775,91611.1712125,93128.411975,3067.65,2218.301,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,119996.5705,0.0,8318.060715,2391.12,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,692940.63531,109953.123695,103565.944125,2639.13,2246.444,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,117017.95925,0.0,9383.640825,2099.497,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,633811.57857425,119416.54405575,124619.327025,2687.184,2479.829,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,117122.20775,0.0,11368.77535,2229.335,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,631307.62636275,125005.190976,146044.950125,3591.0200000000004,2592.229,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,104863.989,0.0,11622.49945,2766.815,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,693430.333101,115556.2067335,158578.94315,3425.8900000000003,2391.45,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,103556.66805,0.0,14557.91035,2505.777,0.0,264
