Mes,Posto,N_pontos_SIM14,Consumo_P_SIM14_kWh,Consumo_Q_SIM14_kVArh,DemandaMax_P_SIM14_kW,DemandaMax_Q_SIM14_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1603963.59025,200885.50492500002,5587.98,693.574,2712
JANEIRO,PONTA,264,-1.8836698499999984,19558.310275,0.2058539999999999,537.755,264
FEVEREIRO,FORA_PONTA,2448,1657580.74625,205187.846171,5935.450000000001,711.8399999999999,2448
FEVEREIRO,PONTA,240,-2.512685774999999,20547.66915,0.260193,589.21,240
MARCO,FORA_PONTA,2736,1786475.01025,208680.28775,6083.18,636.931,2736
MARCO,PONTA,240,-3.2935649999999987,20635.406775,0.2543629999999999,500.731,240
ABRIL,FORA_PONTA,2640,1363956.33225,142605.99105,5587.33,469.787,2640
ABRIL,PONTA,240,-1.8293702999999992,14636.06805,0.230894,421.622,240
MAIO,FORA_PONTA,2724,1430460.5775,131858.59915,5605.4400000000005,469.956,2724
MAIO,PONTA,252,-2.9787197749999987,14615.869025,0.2528319999999999,321.917,252
JUNHO,FORA_PONTA,2640,1610303.649525,118188.054569625,5602.889999999999,418.731,2640
JUNHO,PONTA,240,-3.1391127999999995,13875.027250000001,0.282928,306.171,240
JULHO,FORA_PONTA,2700,1600600.23625,108021.084925,5603.46,414.256,2700
JULHO,PONTA,276,-2.947930949999999,13799.3377,0.267432,387.434,276
AGOSTO,FORA_PONTA,2724,1499529.7745,113064.1883,5604.54,431.474,2724
AGOSTO,PONTA,252,-0.9976718500000001,14330.336800000001,0.251029,341.183,252
SETEMBRO,FORA_PONTA,2616,1405178.6225,120891.648875,5602.37,448.086,2616
SETEMBRO,PONTA,264,-1.3288765999999992,15300.16145,0.210787,323.811,264
OUTUBRO,FORA_PONTA,2700,1444661.458725,141307.32900835,5602.95,497.52,2700
OUTUBRO,PONTA,276,-1.8385150999999993,17671.417825,0.24897,427.558,276
NOVEMBRO,FORA_PONTA,2652,1539744.32975,159927.3564,6015.95,596.091,2652
NOVEMBRO,PONTA,228,-2.6758719249999996,17783.138125,0.27957,595.884,228
DEZEMBRO,FORA_PONTA,2712,1561181.796,177829.198575,5914.67,634.447,2712
DEZEMBRO,PONTA,264,-2.518152074999999,20983.476,0.261956,612.825,264
