Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
7608.75,1.14,0.337,0.315,-0.68,-0.31,-0.89
7609.0,1.14,0.297,0.337,-0.68,-0.37,-0.87
7609.25,1.14,0.28,0.345,-0.68,-0.39,-0.86
7609.5,1.17,0.275,0.314,-0.65,-0.39,-0.91
7609.75,1.15,0.28,0.332,-0.68,-0.39,-0.89
7610.0,1.14,0.304,0.336,-0.69,-0.37,-0.88
7610.25,1.14,0.279,0.322,-0.68,-0.37,-0.88
7610.5,1.14,0.302,0.375,-0.68,-0.34,-0.82
7610.75,1.14,0.276,0.329,-0.68,-0.38,-0.87
7611.0,1.17,0.29,0.324,-0.65,-0.36,-0.88
7611.25,1.15,0.301,0.337,-0.67,-0.35,-0.87
7611.5,1.14,0.274,0.343,-0.68,-0.38,-0.85
7611.75,1.14,0.274,0.319,-0.68,-0.39,-0.9
7612.0,1.14,0.275,0.354,-0.68,-0.38,-0.86
7612.25,1.14,0.284,0.404,-0.68,-0.39,-0.79
7612.5,1.18,0.318,0.33,-0.64,-0.34,-0.89
7612.75,1.15,0.276,0.346,-0.67,-0.38,-0.87
7613.0,1.14,0.318,0.34,-0.68,-0.32,-0.86
7613.25,1.14,0.322,0.316,-0.68,-0.32,-0.9
7613.5,1.14,0.317,0.381,-0.69,-0.34,-0.82
7613.75,1.14,0.333,0.332,-0.69,-0.32,-0.88
7614.0,1.17,0.275,0.31,-0.65,-0.38,-0.9
7614.25,1.14,0.278,0.354,-0.67,-0.38,-0.84
7614.5,1.14,0.264,0.333,-0.67,-0.38,-0.86
7614.75,1.14,0.264,0.31,-0.67,-0.37,-0.87
7615.0,2.29,0.807,0.771,-0.86,-0.45,-0.89
7615.25,3.19,1.65,1.38,-0.77,-0.37,-0.57
7615.5,3.29,1.82,2.95,-0.26,0.0122,0.0333
7615.75,4.15,2.97,3.88,-0.13,0.01,0.00444
7616.0,4.81,3.85,3.78,0.075,-0.047,-0.065
7616.25,2.89,3.34,3.15,-0.59,-0.35,-0.41
7616.5,2.86,3.49,2.33,-0.73,-0.54,-0.56
7616.75,2.98,3.22,2.35,-0.71,-0.54,-0.57
7617.0,3.22,3.02,1.66,-0.54,-0.2,-0.16
7617.25,3.21,2.96,1.69,-0.59,-0.26,-0.23
7617.5,3.34,3.11,1.88,-0.46,-0.065,-0.094
7617.75,3.07,2.84,1.52,-0.73,-0.34,-0.43
7618.0,3.33,3.06,1.93,-0.49,-0.14,-0.24
7618.25,3.09,2.79,1.79,-0.73,-0.41,-0.47
7618.5,3.09,2.83,1.94,-0.75,-0.44,-0.53
7618.75,3.13,2.92,2.17,-0.65,-0.34,-0.4
7619.0,3.13,2.9,2.39,-0.61,-0.28,-0.3
7619.25,3.39,3.46,2.45,-0.32,0.0678,0.00111
7619.5,3.02,3.0,2.3,-0.33,-0.056,-0.094
7619.75,2.8,3.33,2.06,-0.4,-0.13,-0.089
7620.0,2.55,2.69,1.1,-0.72,-0.4,-0.46
7620.25,2.84,2.96,1.35,-0.42,-0.13,-0.12
7620.5,2.54,2.95,1.08,-0.69,-0.41,-0.45
7620.75,2.61,2.73,1.31,-0.58,-0.31,-0.29
7621.0,2.53,2.72,1.2,-0.65,-0.38,-0.44
7621.25,2.75,2.87,1.46,-0.5,-0.24,-0.24
7621.5,2.48,2.65,1.29,-0.65,-0.39,-0.4
7621.75,2.74,2.97,1.54,-0.4,-0.12,-0.14
7622.0,2.67,2.89,1.55,-0.5,-0.24,-0.19
7622.25,2.73,2.96,1.66,-0.52,-0.24,-0.25
7622.5,1.54,2.46,0.997,-0.46,-0.18,-0.29
7622.75,1.58,2.41,0.973,-0.56,-0.27,-0.39
7623.0,1.62,1.53,0.987,-0.57,-0.36,-0.4
7623.25,1.62,2.17,1.33,-0.49,-0.32,-0.33
7623.5,5.74,6.63,5.72,2.4,2.69,3.0
7623.75,35.7,34.7,37.5,20.9,19.7,22.2
7624.0,39.1,37.2,41.3,24.0,22.4,25.0
7624.25,38.8,36.5,41.2,23.8,21.6,24.0
7624.5,37.7,35.8,40.4,22.9,20.7,23.4
7624.75,34.1,33.6,37.6,21.7,19.6,23.5
7625.0,34.8,33.9,38.0,21.8,19.5,23.8
7625.25,34.8,33.8,38.0,21.6,19.3,24.0
7625.5,34.2,33.2,37.7,21.2,19.1,23.8
7625.75,33.7,33.1,36.8,20.9,19.1,23.5
7626.0,34.0,32.5,36.7,19.9,18.0,22.5
7626.25,34.2,32.7,36.4,19.8,18.1,22.3
7626.5,34.6,33.5,36.6,19.8,17.8,22.5
7626.75,33.7,32.6,36.8,19.6,17.8,22.4
7627.0,33.3,32.2,36.6,19.5,17.5,22.4
7627.25,32.8,32.1,37.3,19.5,17.4,23.0
7627.5,26.5,26.6,30.8,16.5,14.5,18.8
7627.75,26.6,26.7,31.2,16.5,14.7,18.8
7628.0,25.5,25.8,31.1,15.8,14.2,18.3
7628.25,28.2,27.7,32.0,17.8,15.5,19.1
7628.5,27.8,28.1,31.4,17.3,15.8,18.8
7628.75,27.6,27.6,30.7,17.4,15.4,19.1
7629.0,29.4,29.5,32.0,18.4,16.1,20.1
7629.25,27.3,28.2,30.6,17.2,15.5,19.5
7629.5,27.0,28.0,29.5,17.2,15.5,19.1
7629.75,31.1,31.3,31.8,18.7,16.5,20.0
7630.0,13.7,13.0,14.4,6.24,5.85,7.36
7630.25,3.35,2.44,2.99,-0.98,-0.66,-1.0
7630.5,2.69,1.93,2.56,-0.91,-0.6,-1.2
7630.75,2.47,1.91,2.56,-0.89,-0.62,-1.2
7631.0,2.49,1.82,2.52,-0.9,-0.6,-1.2
7631.25,2.49,1.68,2.55,-0.92,-0.67,-1.2
7631.5,2.49,1.66,2.54,-0.92,-0.69,-1.2
7631.75,2.4,1.14,2.01,-0.92,-0.57,-1.0
7632.0,2.26,0.697,1.33,-0.89,-0.53,-1.0
7632.25,2.22,0.62,1.09,-0.85,-0.57,-1.0
7632.5,1.08,0.318,0.414,-0.68,-0.46,-0.94
7632.75,1.07,0.315,0.434,-0.68,-0.44,-0.88
7633.0,1.07,0.328,0.421,-0.68,-0.41,-0.9
7633.25,1.07,0.366,0.416,-0.65,-0.35,-0.88
7633.5,1.07,0.312,0.425,-0.65,-0.41,-0.87
7633.75,1.1,0.308,0.442,-0.62,-0.42,-0.84
7634.0,1.07,0.328,0.4,-0.66,-0.4,-0.91
7634.25,1.07,0.312,0.434,-0.67,-0.43,-0.86
7634.5,1.07,0.343,0.431,-0.67,-0.4,-0.87
7634.75,1.07,0.342,0.4,-0.67,-0.4,-0.92
7635.0,1.07,0.305,0.411,-0.67,-0.45,-0.91
7635.25,1.11,0.303,0.455,-0.63,-0.46,-0.83
7635.5,1.07,0.337,0.416,-0.67,-0.4,-0.89
7635.75,1.07,0.337,0.418,-0.68,-0.41,-0.9
7636.0,1.07,0.329,0.446,-0.68,-0.43,-0.86
7636.25,1.07,0.324,0.412,-0.68,-0.43,-0.9
7636.5,1.08,0.305,0.438,-0.67,-0.46,-0.89
7636.75,1.1,0.312,0.501,-0.65,-0.45,-0.82
7637.0,1.07,0.317,0.481,-0.68,-0.44,-0.84
7637.25,1.07,0.351,0.413,-0.68,-0.39,-0.91
7637.5,1.07,0.325,0.421,-0.68,-0.43,-0.9
