MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,4097,2176,1115947.0,111501.0,87.0,0.0,83,0,0.0,0.0,87.0,0.0,1115860.0,111501.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.0,1154.0,134545.48,181347.84,39608.78,79822.18,0.0,0.0,167392.05,16725.15,25.23,0.0,412875.16,65785.59,1098102.23
FEV,4909,2537,1232245.0,118283.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1232245.0,118283.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,793.0,161211.56,211433.58,17473.66,54851.81,0.0,0.0,184836.75,17742.45,0.0,0.0,455930.65,69786.97,1173267.43
MAR,5211,3000,1321856.0,135867.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1321856.0,135867.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,330.0,171129.24,250020.0,9241.14,22826.1,0.0,0.0,198278.4,20380.05,0.0,0.0,489086.72,80161.53,1241123.18
ABR,3538,2333,978764.0,116991.0,941.0,0.0,203,0,0.0,0.0,941.0,0.0,977823.0,116991.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,997.0,116187.92,194432.22,54847.12,68962.49,0.0,0.0,146814.6,17548.65,272.89,0.0,361869.79,69024.69,1029687.48
MAI,3530,2783,1074093.0,128492.0,26.0,0.0,34,0,0.0,0.0,26.0,0.0,1074067.0,128492.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,547.0,115925.2,231935.22,55065.2,37835.99,0.0,0.0,161113.95,19273.8,7.54,0.0,397406.87,75810.28,1094366.51
JUN,4674,2938,1266245.0,139147.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1266245.0,139147.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,392.0,153494.16,244852.92,23879.76,27114.64,0.0,0.0,189936.75,20872.05,0.0,0.0,468510.65,82096.73,1210757.66
JUL,4527,3521,1223679.0,141539.0,31.0,0.0,49,0,0.0,0.0,31.0,0.0,1223648.0,141539.0,0.0,0.0,0.0,0.0,0.0,191.0,1023.0,0.0,148666.68,293440.14,27886.98,0.0,0.0,31835.88,183551.85,21230.85,8.99,0.0,452752.24,83508.01,1242872.63
AGO,3548,2635,1118424.0,131956.0,55.0,0.0,54,0,0.0,0.0,55.0,0.0,1118369.0,131956.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,695.0,116516.32,219600.9,54574.52,48073.15,0.0,0.0,167763.6,19793.4,15.95,0.0,413800.93,77854.04,1117976.86
SET,3009,2311,1001614.0,129659.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1001614.0,129659.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.0,1019.0,98815.56,192598.74,69267.66,70484.23,0.0,0.0,150242.1,19448.85,0.0,0.0,370597.18,76498.81,1047953.13
OUT,3737,2455,999817.0,132957.0,338.0,0.0,135,0,0.0,0.0,338.0,0.0,999479.0,132957.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.0,875.0,122723.08,204599.7,49422.38,60523.75,0.0,0.0,149972.55,19943.55,98.02,0.0,369834.27,78444.63,1055463.91
NOV,5031,3106,1071282.0,121303.0,391.0,0.0,190,0,0.0,0.0,391.0,0.0,1070891.0,121303.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,224.0,165218.04,258854.04,14147.94,15494.08,0.0,0.0,160692.3,18195.45,113.39,0.0,396260.95,71568.77,1100431.57
DEZ,4947,2873,1107551.0,122530.0,19.0,0.0,78,0,0.0,0.0,19.0,0.0,1107532.0,122530.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,457.0,162459.48,239435.82,16437.78,31610.69,0.0,0.0,166132.65,18379.5,5.51,0.0,409788.36,72292.7,1116536.98
TOTAIS,5211,3521,13511517.0,1530225.0,1888.0,0.0,,,,,1888.0,0.0,13509629.0,1530225.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,13528539.570000002
