Descricao,Valor
kWh fornecido (EnergyMeter kWh),15034049.0
kWh da carga (Zone kWh),16470407.0
Zone losses (Zone Losses kWh),909182.0
Perdas na linha MT (Line Losses kWh),22801.0
Perdas nos trafos (Transformer Losses kWh),886381.0
Perdas em vazio ferro (No Load Losses kWh),845786.0
Perdas em carga cobre (Transformer - NoLoad) kWh,40595.0
