MES,R$SIM2,R$SIM6,Economia_R$,Economia_%
JAN,1128292.66,1064535.82,63756.84,5.651
FEV,1195764.83,1132294.68,63470.15,5.308
MAR,1273832.45,1210833.44,62999.01,4.946
ABR,1015371.32,950967.62,64403.7,6.343
MAI,1051258.3,987165.29,64093.01,6.097
JUN,1144916.86,1080187.74,64729.12,5.654
JUL,1189511.26,1129986.2,59525.06,5.004
AGO,1082950.95,1018866.91,64084.04,5.918
SET,1031786.29,966787.04,64999.25,6.3
OUT,1058766.29,994088.13,64678.16,6.109
NOV,1163254.84,1122865.18,40389.66,3.472
DEZ,1154141.31,1090504.34,63636.97,5.514
TOTAIS,13489847.359999998,12749082.389999999,740764.97,5.491277627028688
