MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4614,1414,1325542,55402,0.0,0.0,386.0,786.0,151523.76,117842.76,10522.36,54367.62,0.0,0.0,198831.3,8310.3,490450.54,32687.18,1064535.82
FEV,5307,1722,1372091,64577,307.0,0.0,0.0,478.0,174281.88,143511.48,0.0,33063.26,20163.76,0.0,205813.65,9686.55,507673.67,38100.43,1132294.68
MAR,5438,2046,1468807,79103,438.0,0.0,0.0,154.0,178583.92,170513.64,0.0,10652.18,28767.84,0.0,220321.05,11865.45,543458.59,46670.77,1210833.44
ABR,3501,1330,1116073,59127,0.0,0.0,1499.0,870.0,114972.84,110842.2,40862.74,60177.9,0.0,0.0,167410.95,8869.05,412947.01,34884.93,950967.62
MAI,3465,1733,1163664,67155,0.0,0.0,1535.0,467.0,113790.6,144428.22,41844.1,32302.39,0.0,0.0,174549.6,10073.25,430555.68,39621.45,987165.29
JUN,4389,1874,1311921,79013,0.0,0.0,611.0,326.0,144134.76,156179.16,16655.86,22549.42,0.0,0.0,196788.15,11851.95,485410.77,46617.67,1080187.74
JUL,4621,2397,1308359,74260,0.0,197.0,379.0,0.0,151753.64,199765.98,10331.54,0.0,0.0,32835.96,196253.85,11139.0,484092.83,43813.4,1129986.2
AGO,3468,1601,1223577,70399,0.0,0.0,1532.0,599.0,113889.12,133427.34,41762.32,41432.83,0.0,0.0,183536.55,10559.85,452723.49,41535.41,1018866.91
SET,3105,1310,1140982,66370,0.0,0.0,1895.0,890.0,101968.2,109175.4,51657.7,61561.3,0.0,0.0,171147.3,9955.5,422163.34,39158.3,966787.04
OUT,3910,1527,1175974,68449,0.0,0.0,1090.0,673.0,128404.4,127260.18,29713.4,46551.41,0.0,0.0,176396.1,10267.35,435110.38,40384.91,994088.13
NOV,5377,2324,1263265,67939,377.0,124.0,0.0,0.0,176580.68,193682.16,0.0,0.0,24761.36,20668.32,189489.75,10190.85,467408.05,40084.01,1122865.18
DEZ,5286,2150,1285764,63366,286.0,0.0,0.0,50.0,173592.24,179181.0,0.0,3458.5,18784.48,0.0,192864.6,9504.9,475732.68,37385.94,1090504.34
TOTAIS,5438,2397,15156019,815160,,,,,,,,,,,,,,,12749082.389999999
