Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM6,Consumo_P_SIM6_kWh,Consumo_Q_SIM6_kVArh,DemandaMax_P_SIM6_kW,DemandaMax_Q_SIM6_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325542.007,125588.789675,4613.78,545.432,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55401.6415,12698.3279,1413.6509999999998,380.038,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1372090.86075,134189.7249425,5306.91,562.572,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64577.25275,13339.146525,1722.407,417.639,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468806.986,131197.311175,5437.76,493.497,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79103.068,12629.357250000001,2046.042,304.298,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1116073.36975,75030.22987675,3501.13,290.6662,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59127.16375,8321.169975,1330.206,280.9871,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163663.89775,63252.82260375,3465.2000000000003,333.014,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67154.70625,7793.104175,1733.116,206.5348,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311921.475125,51887.10391175,4389.17,222.4096,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,79012.873,6547.3967,1873.7,162.7941,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1308358.565,41778.6891588875,4620.59,209.4841,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74259.9905,6417.41965,2397.061,189.1458,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223577.03925,46297.527127825,3468.37,199.82960000000003,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70399.22172475,7348.69786,1600.5990000000002,231.3793,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1140982.46575,55350.050264,3105.41,260.00570000000005,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66369.61975,8374.804825,1310.165,202.5875,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1175974.284025,72118.63725,3909.97,371.662,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68449.419,10289.1526,1527.36,291.4106,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1263265.04875,89731.4035725,5376.6,456.64699999999993,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67939.4585,10731.69675,2323.773,369.42,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285763.6335,104849.392675,5285.639999999999,493.204,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63366.174,13505.671175,2150.35,398.491,264
