Descricao,Valor
kWh fornecido (EnergyMeter kWh),18063633.0
kWh da carga (Zone kWh),16530882.0
Zone losses (Zone Losses kWh),961797.0
Perdas na linha MT (Line Losses kWh),33924.0
Perdas nos trafos (Transformer Losses kWh),927861.0
Perdas em vazio ferro (No Load Losses kWh),866608.0
Perdas em carga cobre (Transformer - NoLoad) kWh,61253.0
