Mes,Posto,N_pontos_SIM17,Consumo_P_SIM17_kWh,Consumo_Q_SIM17_kVArh,DemandaMax_P_SIM17_kW,DemandaMax_Q_SIM17_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1560725.26225,169941.09365,5135.25,650.678,2712
JANEIRO,PONTA,264,1402.34395005,18601.48835,377.605,515.784,264
FEVEREIRO,FORA_PONTA,2448,1615741.47225,177611.3767575,5604.6900000000005,669.24,2448
FEVEREIRO,PONTA,240,6393.6026361,19796.23645,719.048,557.08,240
MARCO,FORA_PONTA,2736,1729022.343,177348.906725,5604.71,598.133,2736
MARCO,PONTA,240,17539.70014725,19435.219525,1077.767,430.416,240
ABRIL,FORA_PONTA,2640,1329644.008,112921.233775,4070.99,362.822,2640
ABRIL,PONTA,240,1616.6282769,14099.968775,284.0341,404.441,240
MAIO,FORA_PONTA,2724,1389874.5535,101065.922625,4240.13,409.918,2724
MAIO,PONTA,252,4956.997391575,13985.591775,732.612,317.341,252
JUNHO,FORA_PONTA,2640,1551146.091275,87810.0277125,4884.86,304.797,2640
JUNHO,PONTA,240,19155.888715175,12600.631625,887.792,273.62800000000004,240
JULHO,FORA_PONTA,2700,1551484.36325,77208.8680925,5141.97,275.8429,2700
JULHO,PONTA,276,12419.678558575,12470.918975,1469.932,305.583,276
AGOSTO,FORA_PONTA,2724,1456549.652,82337.1818225,4477.82,304.354,2724
AGOSTO,PONTA,252,8089.512518675,13573.5158875,584.938,328.914,252
SETEMBRO,FORA_PONTA,2616,1366604.74025,91347.860625,4286.12,329.38800000000003,2616
SETEMBRO,PONTA,264,1306.9594622,14812.087825,261.5736,315.31,264
OUTUBRO,FORA_PONTA,2700,1408456.507125,110928.302675,4352.53,454.462,2700
OUTUBRO,PONTA,276,2892.68919845,16987.00275,502.567,416.056,276
NOVEMBRO,FORA_PONTA,2652,1492469.43775,129688.445425,5604.26,554.812,2652
NOVEMBRO,PONTA,228,11999.56429775,16778.986425,1387.296,504.219,228
DEZEMBRO,FORA_PONTA,2712,1515016.0185,146849.462675,5601.54,591.6949999999999,2712
DEZEMBRO,PONTA,264,9661.01279515,19641.22555,1194.7089999999998,535.982,264
