MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3690,2041,1010059.0,103860.0,1705.0,0.0,250,0,0.0,0.0,1705.0,0.0,1008354.0,103860.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,1079.0,121179.6,170096.94,41162.6,74634.43,0.0,0.0,151508.85,15579.0,494.45,0.0,373227.38,61277.4,1008666.2
FEV,4491,2367,1125560.0,110439.0,154.0,0.0,100,0,0.0,0.0,154.0,0.0,1125406.0,110439.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,753.0,147484.44,197265.78,19327.34,52085.01,0.0,0.0,168834.0,16565.85,44.66,0.0,416412.54,65159.01,1083133.97
MAR,4793,2797,1207641.0,127136.0,338.0,0.0,161,0,0.0,0.0,338.0,0.0,1207303.0,127136.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,323.0,157402.12,233101.98,11094.82,22341.91,0.0,0.0,181146.15,19070.4,98.02,0.0,446729.15,75010.24,1145896.77
ABR,3268,2192,895971.0,109971.0,3771.0,0.0,368,0,0.0,0.0,3771.0,0.0,892200.0,109971.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,928.0,107321.12,182681.28,52666.32,64189.76,0.0,0.0,134395.65,16495.65,1093.59,0.0,330415.68,64882.89,953048.35
MAI,3313,2613,991431.0,120763.0,1579.0,0.0,195,0,0.0,0.0,1579.0,0.0,989852.0,120763.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.0,507.0,108798.92,217767.42,51439.62,35069.19,0.0,0.0,148714.65,18114.45,457.91,0.0,366371.56,71250.17,1017525.98
JUN,4356,2758,1173267.0,130720.0,5.0,0.0,14,0,0.0,0.0,5.0,0.0,1173262.0,130720.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,362.0,143051.04,229851.72,23007.44,25039.54,0.0,0.0,175990.05,19608.0,1.45,0.0,434107.34,77124.8,1127779.93
JUL,4214,3304,1129506.0,133020.0,377.0,0.0,215,0,0.0,0.0,377.0,0.0,1129129.0,133020.0,0.0,0.0,0.0,0.0,0.0,184.0,986.0,0.0,138387.76,275355.36,26878.36,0.0,0.0,30669.12,169425.9,19953.0,109.33,0.0,417807.89,78481.8,1156959.19
AGO,3285,2474,1029189.0,124006.0,1290.0,0.0,226,0,0.0,0.0,1290.0,0.0,1027899.0,124006.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.0,646.0,107879.4,206183.16,52202.9,44683.82,0.0,0.0,154378.35,18600.9,374.1,0.0,380425.83,73163.54,1037517.9
SET,2806,2171,915185.0,121795.0,370.0,0.0,151,0,0.0,0.0,370.0,0.0,914815.0,121795.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0,949.0,92149.04,180931.14,65260.44,65642.33,0.0,0.0,137277.75,18269.25,107.3,0.0,338511.15,71859.05,969900.15
OUT,3415,2306,908685.0,124659.0,1338.0,0.0,317,0,0.0,0.0,1338.0,0.0,907347.0,124659.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.0,814.0,112148.6,192182.04,48659.1,56304.38,0.0,0.0,136302.75,18698.85,388.02,0.0,335825.43,73548.81,973669.96
NOV,4616,2865,969808.0,113535.0,1659.0,0.0,373,0,0.0,0.0,1659.0,0.0,968149.0,113535.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,255.0,151589.44,238769.1,15919.84,17638.35,0.0,0.0,145471.2,17030.25,481.11,0.0,358347.85,66985.65,1011751.68
DEZ,4500,2639,1006152.0,114526.0,414.0,0.0,202,0,0.0,0.0,414.0,0.0,1005738.0,114526.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,481.0,147780.0,219934.26,19082.0,33270.77,0.0,0.0,150922.8,17178.9,120.06,0.0,372156.18,67570.34,1027895.25
TOTAIS,4793,3304,12362454.0,1434430.0,13000.0,0.0,,,,,13000.0,0.0,12349454.0,1434430.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12513745.329999998
