Mes,Posto,N_pontos_SIM32,Consumo_P_SIM32_kWh,Injecao_P_SIM32_kWh,Consumo_Q_SIM32_kVArh,DemandaMax_P_SIM32_kW,DemandaMax_Inj_SIM32_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1010059.44532,1705.2531925,145991.870275,3690.4,250.2284,2712
JANEIRO,PONTA,264,103859.924,0.0,11461.105275,2041.339,0.0,264
FEVEREIRO,FORA_PONTA,2448,1125559.836528,154.2291675,152274.41205,4491.02,99.7383,2448
FEVEREIRO,PONTA,240,110438.75225,0.0,12295.57165,2366.586,0.0,240
MARCO,FORA_PONTA,2736,1207640.56259,338.3694525,151262.02725,4792.73,160.6954,2736
MARCO,PONTA,240,127135.96525000001,0.0,11566.792725,2796.896,0.0,240
ABRIL,FORA_PONTA,2640,895971.1958250001,3771.23194925,90652.80555,3268.42,367.819,2640
ABRIL,PONTA,240,109971.17275,0.0,7040.48535,2191.877,0.0,240
MAIO,FORA_PONTA,2724,991431.177267,1578.76846325,76739.187795,3312.94,195.3019,2724
MAIO,PONTA,252,120763.32925,0.0,6429.8145725,2612.91,0.0,252
JUNHO,FORA_PONTA,2640,1173266.5509595,5.0258475,64629.8311975,4356.5,14.1636,2640
JUNHO,PONTA,240,130720.06925,0.0,5261.748575,2758.492,0.0,240
JULHO,FORA_PONTA,2700,1129505.5715125,376.913725,54031.71229575,4214.48,215.3067,2700
JULHO,PONTA,276,133020.21975,0.0,4859.8395275,3304.3,0.0,276
AGOSTO,FORA_PONTA,2724,1029188.962173,1290.489045,59900.53171425,3284.56,226.072,2724
AGOSTO,PONTA,252,124006.188,0.0,5994.6511625,2474.358,0.0,252
SETEMBRO,FORA_PONTA,2616,915185.234640225,369.62035,69795.792645,2806.322,151.3665,2616
SETEMBRO,PONTA,264,121794.68975,0.0,6954.219325,2171.004,0.0,264
OUTUBRO,FORA_PONTA,2700,908685.14607,1338.0866169,88741.372475,3415.48,317.005,2700
OUTUBRO,PONTA,276,124658.55775,0.0,8866.410325,2306.049,0.0,276
NOVEMBRO,FORA_PONTA,2652,969808.1477425,1659.2756425,108869.559225,4615.55,373.136,2652
NOVEMBRO,PONTA,228,113535.13725,0.0,9650.061675,2865.087,0.0,228
DEZEMBRO,FORA_PONTA,2712,1006151.768533,413.71468250000004,123275.94205,4499.55,201.60900000000004,2712
DEZEMBRO,PONTA,264,114526.39675,0.0,12292.806775000001,2639.459,0.0,264
