Mes,Posto,N_pontos_SIM22,Consumo_P_SIM22_kWh,Consumo_Q_SIM22_kVArh,DemandaMax_P_SIM22_kW,DemandaMax_Q_SIM22_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1464895.5265,155216.281925,4666.88,594.768,2712
JANEIRO,PONTA,264,-2.156747099999999,16867.5893,0.183492,500.73,264
FEVEREIRO,FORA_PONTA,2448,1518607.53925,162371.42346,4679.3,624.774,2448
FEVEREIRO,PONTA,240,358.787874275,18343.4986,282.7754,542.9069999999999,240
MARCO,FORA_PONTA,2736,1631458.154,162446.57665,4680.389999999999,560.833,2736
MARCO,PONTA,240,2536.064622075,18726.7655,615.426,425.013,240
ABRIL,FORA_PONTA,2640,1250214.929,102670.44715,3640.67,331.389,2640
ABRIL,PONTA,240,-1.243368224999999,12705.66705,0.178647,389.506,240
MAIO,FORA_PONTA,2724,1306840.0155,91444.69916,3637.72,374.944,2724
MAIO,PONTA,252,507.97651782500003,12786.4534,295.1298,288.2991,252
JUNHO,FORA_PONTA,2640,1465014.941425,78766.4663025,4543.219999999999,261.6266,2640
JUNHO,PONTA,240,3695.903971175,12420.0906,439.103,280.0231,240
JULHO,FORA_PONTA,2700,1464877.82525,69238.07745,4661.09,248.2984,2700
JULHO,PONTA,276,4442.482410575,11636.6226,978.797,308.248,276
AGOSTO,FORA_PONTA,2724,1370445.3795,73796.8266525,3640.93,264.3586,2724
AGOSTO,PONTA,252,390.64986195,12665.371595,158.2812,315.026,252
SETEMBRO,FORA_PONTA,2616,1280724.069,82275.4076225,3640.18,299.9918,2616
SETEMBRO,PONTA,264,-0.4407926499999999,13278.5078,0.197813,297.4954,264
OUTUBRO,FORA_PONTA,2700,1322182.003825,100560.4687,4049.71,415.11,2700
OUTUBRO,PONTA,276,24.360789325,15411.759875,82.0071,391.559,276
NOVEMBRO,FORA_PONTA,2652,1405573.513,118246.7147,4680.219999999999,518.8109999999999,2652
NOVEMBRO,PONTA,228,2856.3194817,15813.201525,902.398,493.01700000000005,228
DEZEMBRO,FORA_PONTA,2712,1426972.5715,134117.84590000001,4674.4400000000005,554.143,2712
DEZEMBRO,PONTA,264,2141.984172975,18326.970775,723.827,522.9269999999999,264
