Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
1416.0,9.44,18.1,11.0,19.9,1.48,19.0
1416.25,9.62,17.6,10.7,20.0,1.3,19.0
1416.5,9.33,17.5,10.8,19.2,1.24,19.0
1416.75,9.55,18.0,10.5,19.5,1.3,19.0
1417.0,9.69,17.7,10.6,20.0,1.27,19.0
1417.25,9.4,18.0,11.2,19.6,1.25,19.0
1417.5,9.62,18.1,11.4,20.6,1.64,19.0
1417.75,9.88,17.7,11.1,21.2,1.46,19.0
1418.0,9.64,17.6,10.8,20.8,1.47,18.0
1418.25,9.52,17.7,10.8,20.8,1.79,18.0
1418.5,9.4,18.0,11.6,20.9,1.69,19.0
1418.75,9.73,18.3,12.0,22.1,2.01,19.0
1419.0,9.36,17.7,11.5,21.3,2.02,18.0
1419.25,9.54,17.9,11.2,21.8,1.73,19.0
1419.5,9.51,17.9,11.2,21.5,1.89,19.0
1419.75,9.45,17.7,11.8,21.2,1.86,19.0
1420.0,9.38,17.5,11.7,21.2,1.7,19.0
1420.25,9.53,18.3,11.1,20.8,1.62,19.0
1420.5,8.66,18.3,11.2,20.7,1.9,18.0
1420.75,8.8,17.7,10.7,20.3,1.44,19.0
1421.0,8.65,18.0,11.2,20.3,1.63,19.0
1421.25,8.77,17.5,11.2,20.5,1.45,19.0
1421.5,8.96,17.4,11.0,20.7,1.34,19.0
1421.75,9.04,18.1,10.7,20.8,1.24,19.0
1422.0,8.89,17.7,10.9,20.0,1.38,18.0
1422.25,8.5,17.8,11.1,19.1,1.46,18.0
1422.5,8.25,17.7,11.5,18.7,1.57,18.0
1422.75,8.21,17.8,11.5,18.9,1.73,18.0
1423.0,8.48,17.6,11.0,19.6,1.57,18.0
1423.25,8.54,18.1,10.9,20.3,1.59,18.0
1423.5,8.22,17.9,10.9,19.2,1.65,18.0
1423.75,8.36,18.1,11.3,19.4,1.31,18.0
1424.0,8.09,17.5,11.1,18.2,1.45,18.0
1424.25,8.35,17.6,10.6,18.8,1.18,18.0
