Mes,Posto,N_pontos_SIM15,Consumo_P_SIM15_kWh,Consumo_Q_SIM15_kVArh,DemandaMax_P_SIM15_kW,DemandaMax_Q_SIM15_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1444731.881,144278.463125,5111.73,622.253,2712
JANEIRO,PONTA,264,74509.83899999999,13596.264025,1767.6729999999998,416.389,264
FEVEREIRO,FORA_PONTA,2448,1498930.373,153775.42954,5589.9400000000005,640.888,2448
FEVEREIRO,PONTA,240,83529.34475,14380.353675,2109.874,457.946,240
MARCO,FORA_PONTA,2736,1605744.545,151104.8365,5597.88,570.973,2736
MARCO,PONTA,240,99658.50675,13608.685575,2469.213,332.168,240
ABRIL,FORA_PONTA,2640,1213668.033,87728.39207,3874.81,333.944,2640
ABRIL,PONTA,240,77473.43549999999,8794.10635,1674.3320000000003,305.153,240
MAIO,FORA_PONTA,2724,1265222.0285,74769.0411775,3834.85,381.166,2724
MAIO,PONTA,252,86989.09175,8205.062750000001,2122.961,221.8242,252
JUNHO,FORA_PONTA,2640,1431334.5774,62413.578966,4861.55,261.74120000000005,2640
JUNHO,PONTA,240,99593.63325,6897.49875,2278.585,174.6244,240
JULHO,FORA_PONTA,2700,1424494.9780000001,50997.5484602365,5118.67,247.3579,2700
JULHO,PONTA,276,96074.612,6655.41165,2860.992,206.8682,276
AGOSTO,FORA_PONTA,2724,1331803.28225,56033.022039125,3838.27,233.6936,2724
AGOSTO,PONTA,252,90529.50976525,7735.5327125,1975.254,249.7998,252
SETEMBRO,FORA_PONTA,2616,1239885.98925,65692.13184,3435.12,300.46840000000003,2616
SETEMBRO,PONTA,264,86704.89050000001,8821.2544,1652.005,218.3737,264
OUTUBRO,FORA_PONTA,2700,1277476.96665,84435.174875,4329.02,425.835,2700
OUTUBRO,PONTA,276,89601.591,10919.34305,1893.143,316.62,276
NOVEMBRO,FORA_PONTA,2652,1378050.07975,104519.24758,5581.83,527.187,2652
NOVEMBRO,PONTA,228,86674.0445,11513.667125,2778.554,405.8130000000001,228
DEZEMBRO,FORA_PONTA,2712,1400786.79525,121253.2157,5595.21,563.33,2712
DEZEMBRO,PONTA,264,83367.336,14512.255275,2585.83,437.399,264
