MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5123.0,1115.0,1509921.0,31444,0.0,0.0,427.0,869.0,168239.32,92924.1,11640.02,60108.73,0.0,0.0,226488.15,4716.6,558670.77,18551.96,1141339.65
FEV,5590.0,1457.0,1557262.0,44375,0.0,0.0,0.0,527.0,183575.6,121426.38,0.0,36452.59,0.0,0.0,233589.3,6656.25,576186.94,26181.25,1184068.31
MAR,5598.0,1816.0,1664709.0,60496,0.0,0.0,0.0,168.0,183838.32,151345.44,0.0,11620.56,0.0,0.0,249706.35,9074.4,615942.33,35692.64,1257220.04
ABR,3886.0,1022.0,1272293.0,38318,0.0,0.0,1664.0,962.0,127616.24,85173.48,45360.64,66541.54,0.0,0.0,190843.95,5747.7,470748.41,22607.62,1014639.58
MAI,3846.0,1470.0,1327154.0,45876,0.0,0.0,1704.0,514.0,126302.64,122509.8,46451.04,35553.38,0.0,0.0,199073.1,6881.4,491046.98,27066.84,1054885.18
JUN,4873.0,1626.0,1489438.0,60436,0.0,0.0,677.0,358.0,160029.32,135510.84,18455.02,24762.86,0.0,0.0,223415.7,9065.4,551092.06,35657.24,1157988.44
JUL,5130.0,2208.0,1490965.0,51047,0.0,224.0,420.0,0.0,168469.2,184014.72,11449.2,0.0,0.0,37336.32,223644.75,7657.05,551657.05,30117.73,1214346.02
AGO,3849.0,1323.0,1393564.0,49717,0.0,0.0,1701.0,661.0,126401.16,110258.82,46369.26,45721.37,0.0,0.0,209034.6,7457.55,515618.68,29333.03,1090194.47
SET,3499.0,999.0,1303056.0,43635,0.0,0.0,2051.0,985.0,114907.16,83256.66,55910.26,68132.45,0.0,0.0,195458.4,6545.25,482130.72,25744.65,1032085.55
OUT,4340.0,1240.0,1343964.0,44573,0.0,0.0,1210.0,744.0,142525.6,103341.6,32984.6,51462.48,0.0,0.0,201594.6,6685.95,497266.68,26298.07,1062159.58
NOV,5581.0,2126.0,1434820.0,49473,0.0,142.0,0.0,0.0,183280.04,177180.84,0.0,0.0,0.0,23668.56,215223.0,7420.95,530883.4,29189.07,1166845.86
DEZ,5561.0,1933.0,1464002.0,40702,0.0,0.0,0.0,51.0,182623.24,161096.22,0.0,3527.67,0.0,0.0,219600.3,6105.3,541680.74,24014.18,1138647.65
TOTAIS,5598.0,2208.0,17251148.0,560092,0.0,224.0,2051.0,985.0,1867807.84,1528038.9000000001,268620.04,403883.62999999995,0.0,61004.880000000005,2587672.1999999997,84013.8,6382924.760000001,330454.27999999997,13514420.330000002
CTOTAL,,,17811240.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,13514420.330000002
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,1984.0,,,,,,,,,,,,,,,,,
