segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,meter_csv,monitor_csvs
0,FORA_PONTA,0.0,167,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00000_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00000_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00000_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00000_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00000_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00000_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00000_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00000_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00000_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00000_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00000_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00000_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00000_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00000_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00000_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00000_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00000_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00000_FORA_PONTA.csv'}"
1,PONTA,41.75,12,100.0,77.4502,100.0,77.4502,100.0,77.4502,100.0,48.3683,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00001_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00001_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00001_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00001_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00001_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00001_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00001_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00001_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00001_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00001_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00001_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00001_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00001_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00001_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00001_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00001_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00001_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00001_PONTA.csv'}"
2,FORA_PONTA,44.75,84,77.4502,100.0,77.4502,100.0,77.4502,100.0,48.3683,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00002_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00002_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00002_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00002_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00002_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00002_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00002_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00002_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00002_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00002_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00002_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00002_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00002_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00002_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00002_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00002_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00002_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00002_FORA_PONTA.csv'}"
3,PONTA,65.75,12,100.0,79.3877,100.0,79.3877,100.0,79.3877,100.0,52.8079,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00003_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00003_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00003_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00003_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00003_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00003_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00003_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00003_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00003_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00003_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00003_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00003_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00003_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00003_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00003_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00003_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00003_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00003_PONTA.csv'}"
4,FORA_PONTA,68.75,276,79.3877,100.0,79.3877,100.0,79.3877,100.0,52.8079,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00004_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00004_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00004_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00004_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00004_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00004_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00004_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00004_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00004_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00004_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00004_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00004_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00004_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00004_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00004_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00004_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00004_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00004_FORA_PONTA.csv'}"
5,PONTA,137.75,12,100.0,76.8657,100.0,76.8657,100.0,76.8657,100.0,47.0287,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00005_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00005_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00005_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00005_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00005_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00005_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00005_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00005_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00005_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00005_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00005_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00005_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00005_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00005_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00005_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00005_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00005_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00005_PONTA.csv'}"
6,FORA_PONTA,140.75,84,76.8657,100.0,76.8657,100.0,76.8657,100.0,47.0287,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 028 segmentos_ano_2030_2047\EXP_MTR_GERAL_S00006_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_GERAL_s00006_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM1_IN_s00006_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM2_IN_s00006_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM3_IN_s00006_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_BESSM4_IN_s00006_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO1_s00006_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_LADO2_s00006_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_ANTES_s00006_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_0700_DEPOIS_s00006_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_ANTES_s00006_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1250_DEPOIS_s00006_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_ANTES_s00006_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_1950_DEPOIS_s00006_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_ANTES_s00006_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2220_DEPOIS_s00006_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_ANTES_s00006_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 028 segmentos_ano_2030_2047\\UFSM_Mon_2380_DEPOIS_s00006_FORA_PONTA.csv'}"
