Mes,Posto,N_pontos_SIM28,Consumo_P_SIM28_kWh,Consumo_Q_SIM28_kVArh,DemandaMax_P_SIM28_kW,DemandaMax_Q_SIM28_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1580770.4545,179339.104475,4476.62,670.298,2712
JANEIRO,PONTA,264,-2.3508637499999985,18624.387725,0.223304,537.068,264
FEVEREIRO,FORA_PONTA,2448,1641140.07225,187439.10755000002,4483.37,722.566,2448
FEVEREIRO,PONTA,240,48.09540115,19992.694975,137.9934,592.603,240
MARCO,FORA_PONTA,2736,1760820.868,188812.78065,4484.3,651.854,2736
MARCO,PONTA,240,980.90841335,20325.611375,496.378,470.043,240
ABRIL,FORA_PONTA,2640,1349909.9555,122039.927725,3922.2199999999993,377.242,2640
ABRIL,PONTA,240,-1.1886157249999991,13961.407475,0.231797,418.413,240
MAIO,FORA_PONTA,2724,1407493.50025,110099.7037,3923.39,424.2480000000001,2724
MAIO,PONTA,252,172.63387835,14014.864175,149.3662,311.56600000000003,252
JUNHO,FORA_PONTA,2640,1580167.116025,96569.91596,4479.98,305.238,2640
JUNHO,PONTA,240,1255.7127793500001,13591.79105,304.99100000000004,309.308,240
JULHO,FORA_PONTA,2700,1581800.0007500001,86807.493425,4482.92,291.7353,2700
JULHO,PONTA,276,3126.728007375,12936.1783,885.803,342.833,276
AGOSTO,FORA_PONTA,2724,1476805.34325,91221.6651975,3923.62,283.7468,2724
AGOSTO,PONTA,252,-0.01071124999999957,13826.959915,1.5423909999999998,338.29,252
SETEMBRO,FORA_PONTA,2616,1379193.3875,99705.0636,3922.57,343.90200000000004,2616
SETEMBRO,PONTA,264,-0.6977028749999995,14586.612525,0.20402,319.944,264
OUTUBRO,FORA_PONTA,2700,1423281.568575,119712.689035,4363.16,468.9,2700
OUTUBRO,PONTA,276,-1.3223083499999988,16912.367325,0.219795,422.193,276
NOVEMBRO,FORA_PONTA,2652,1517675.482,139890.427625,4483.04,605.435,2652
NOVEMBRO,PONTA,228,1645.485987175,17274.383875,804.895,542.895,228
DEZEMBRO,FORA_PONTA,2712,1541528.20375,157331.157925,4483.01,643.8050000000001,2712
DEZEMBRO,PONTA,264,1041.368233725,20180.57465,612.443,574.8149999999999,264
