Descricao,Valor
kWh fornecido (EnergyMeter kWh),18248207.0
kWh da carga (Zone kWh),16540139.0
Zone losses (Zone Losses kWh),984351.0
Perdas na linha MT (Line Losses kWh),36159.0
Perdas nos trafos (Transformer Losses kWh),948194.0
Perdas em vazio ferro (No Load Losses kWh),890822.0
Perdas em carga cobre (Transformer - NoLoad) kWh,57372.0
