MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,4115,2081,1120381.0,104642.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1120381.0,104642.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,964.0,135136.6,173430.54,26169.6,66679.88,0.0,0.0,168057.15,15696.3,0.0,0.0,414540.97,61738.78,1061449.82
FEV,4821,2363,1206471.0,110191.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1206471.0,110191.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,682.0,158321.64,196932.42,6924.04,47173.94,0.0,0.0,180970.65,16528.65,0.0,0.0,446394.27,65012.69,1118258.3
MAR,4985,2794,1294691.0,125743.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1294691.0,125743.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,251.0,163707.4,232851.96,2453.4,17361.67,0.0,0.0,194203.65,18861.45,0.0,0.0,479035.67,74188.37,1182663.57
ABR,3359,2139,963065.0,107296.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,963065.0,107296.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.0,906.0,110309.56,178264.26,46778.16,62668.02,0.0,0.0,144459.75,16094.4,0.0,0.0,356334.05,63304.64,978212.84
MAI,3310,2549,1033842.0,117826.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1033842.0,117826.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,496.0,108700.4,212433.66,48113.9,34308.32,0.0,0.0,155076.3,17673.9,0.0,0.0,382521.54,69517.34,1028345.36
JUN,4341,2692,1200895.0,127543.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1200895.0,127543.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,353.0,142558.44,224351.28,20008.84,24417.01,0.0,0.0,180134.25,19131.45,0.0,0.0,444331.15,75250.37,1130182.79
JUL,4229,3224,1172371.0,129784.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1172371.0,129784.0,0.0,0.0,0.0,0.0,0.0,179.0,846.0,0.0,138880.36,268688.16,23061.96,0.0,0.0,29835.72,175855.65,19467.6,0.0,0.0,433777.27,76572.56,1166139.28
AGO,3351,2414,1082472.0,120990.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1082472.0,120990.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,631.0,110046.84,201182.76,46996.24,43646.27,0.0,0.0,162370.8,18148.5,0.0,0.0,400514.64,71384.1,1054290.15
SET,2798,2118,984034.0,119099.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,984034.0,119099.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.0,927.0,91886.32,176514.12,62071.02,64120.59,0.0,0.0,147605.1,17864.85,0.0,0.0,364092.58,70268.41,994422.99
OUT,3633,2250,995249.0,122697.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,995249.0,122697.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,795.0,119307.72,187515.0,39308.92,54990.15,0.0,0.0,149287.35,18404.55,0.0,0.0,368242.13,72391.23,1009447.05
NOV,4891,2965,1074560.0,112270.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1074560.0,112270.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,80.0,160620.44,247103.1,5015.84,5533.6,0.0,0.0,161184.0,16840.5,0.0,0.0,397587.2,66239.3,1060123.98
DEZ,4854,2766,1100626.0,113944.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1100626.0,113944.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,279.0,159405.36,230518.44,6024.46,19298.43,0.0,0.0,165093.9,17091.6,0.0,0.0,407231.62,67226.96,1071890.77
TOTAIS,4985,3224,13228657.0,1412025.0,0.0,0.0,,,,,0.0,0.0,13228657.0,1412025.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12855426.9
