Mes,Posto,N_pontos_SIM31,Consumo_P_SIM31_kWh,Injecao_P_SIM31_kWh,Consumo_Q_SIM31_kVArh,DemandaMax_P_SIM31_kW,DemandaMax_Inj_SIM31_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1120381.21775,0.0,127725.9673,4115.03,0.0,2712
JANEIRO,PONTA,264,104641.752,0.0,10095.636375,2081.015,0.0,264
FEVEREIRO,FORA_PONTA,2448,1206471.2096,0.0,135872.8766375,4821.12,0.0,2448
FEVEREIRO,PONTA,240,110191.318,0.0,11011.6548,2363.27,0.0,240
MARCO,FORA_PONTA,2736,1294690.62,0.0,133270.8328,4984.58,0.0,2736
MARCO,PONTA,240,125742.70825,0.0,10296.470675,2794.373,0.0,240
ABRIL,FORA_PONTA,2640,963064.63455,0.0,75376.7651114,3358.9,0.0,2640
ABRIL,PONTA,240,107295.754,0.0,5902.804275,2138.639,0.0,240
MAIO,FORA_PONTA,2724,1033842.45275,0.0,62292.5689562925,3309.7700000000004,0.0,2724
MAIO,PONTA,252,117826.15525,0.0,5256.6410745,2549.452,0.0,252
JUNHO,FORA_PONTA,2640,1200895.213875,0.0,51298.7142105,4340.6900000000005,0.0,2640
JUNHO,PONTA,240,127542.785,0.0,4159.994725,2691.536,0.0,240
JULHO,FORA_PONTA,2700,1172371.12825,0.0,40171.569014625,4229.0,0.0,2700
JULHO,PONTA,276,129784.21775,0.0,3624.644474275,3224.1400000000003,0.0,276
AGOSTO,FORA_PONTA,2724,1082471.8113,0.0,45495.43350685,3351.25,0.0,2724
AGOSTO,PONTA,252,120990.3182,0.0,4830.2347825,2414.274,0.0,252
SETEMBRO,FORA_PONTA,2616,984033.79075,0.0,55083.149969725004,2798.018,0.0,2616
SETEMBRO,PONTA,264,119098.6565,0.0,5717.6678,2118.241,0.0,264
OUTUBRO,FORA_PONTA,2700,995248.8975,0.0,72730.7103525,3632.96,0.0,2700
OUTUBRO,PONTA,276,122696.82225,0.0,7530.512575,2250.035,0.0,276
NOVEMBRO,FORA_PONTA,2652,1074559.62025,0.0,91825.5609825,4890.72,0.0,2652
NOVEMBRO,PONTA,228,112269.69875,0.0,8488.684225,2964.604,0.0,228
DEZEMBRO,FORA_PONTA,2712,1100626.13505,0.0,106149.310575,4853.63,0.0,2712
DEZEMBRO,PONTA,264,113943.94375,0.0,10920.0624,2766.213,0.0,264
