Hora_decimal,P_residuo_BT_kW,Q_residuo_BT_kVAr,sumP_est_kW,sumAbsQ_est_kVAr,fatorP_por_sumP,fatorQ_por_sumAbsQ
0.0,70.68000000000006,82.608,389.9957842587323,121.49655586951059,0.18123272828279935,0.6799205081066038
0.25,65.08000000000015,77.00800000000001,401.52614312012975,124.85212136406297,0.16208160070047875,0.6167936848701855
0.5,59.82400000000007,61.5097,384.88533611582966,111.29925492624743,0.1554333054195556,0.5526514983479401
0.75,57.78300000000013,64.2284,385.8795535777091,115.36818701527207,0.14974361679508807,0.5567253994508699
1.0,59.03099999999995,62.6265,403.00443983525645,122.2968606300958,0.14647729445395474,0.5120859168202423
1.25,66.29199999999992,52.8507,398.24674136202646,129.17665203147558,0.16645961690302227,0.40913508106033153
1.5,77.20300000000009,60.9624,401.9857925975641,130.305920366798,0.19205405121690342,0.46784060024592133
1.75,101.005,68.1542,381.02730137500953,124.3025864189574,0.2650859915693816,0.548292694170407
2.0,91.62999999999988,68.55479999999999,379.066167023164,116.12032191668271,0.2417256088022241,0.5903772816715804
2.25,119.0329999999999,79.6183,370.6351438818199,109.56131682486148,0.3211595067680753,0.7267008311635512
2.5,99.29299999999988,80.8955,389.4410411235552,116.94586008625528,0.2549628557728149,0.6917346192531675
2.75,121.14700000000003,83.9111,374.4642689429413,119.726856005869,0.32352085378394196,0.700854451534973
3.0,70.57500000000005,76.34470000000002,386.15153287250854,119.15304678606074,0.1827650390897219,0.6407280557170888
3.25,83.66899999999987,81.64909999999998,370.92568467829426,117.52866718087392,0.22556809478579629,0.6947164632977917
3.5,60.70800000000008,82.35629999999998,386.8878474294426,112.31664706472084,0.15691369062987046,0.7332510554071593
3.75,84.74299999999994,84.7098,376.9786380782379,117.54865603846476,0.22479523092343612,0.7206360570577762
4.0,50.065000000000055,91.9387,386.41810214408713,113.48164697397276,0.1295617356490506,0.8101636031162495
4.25,81.16999999999996,102.8072,373.4251622320012,116.87438325529467,0.2173661772410793,0.8796384386083389
4.5,-6.220000000000027,76.5868,405.04985861646566,130.93781957789716,-0.015356134233068903,0.5849096941349111
4.75,38.07600000000002,74.4821,372.2426920560031,115.86906985660977,0.1022881061537981,0.6428126167938782
5.0,29.139999999999876,15.5334,383.88799401614983,122.82763718499564,0.07590755755381602,0.12646502331233908
5.25,62.54900000000009,-6.616500000000002,352.2389738483779,105.63423533323736,0.1775754662143788,-0.06263594353788207
5.5,47.442999999999984,-4.960000000000001,353.86423875109585,116.88745343227893,0.13407119116484348,-0.042433981187499095
5.75,-1.0579999999999927,5.891199999999998,347.99314983404173,113.6571540843318,-0.003040289731290843,0.05183307683059547
6.0,-4.538999999999987,13.545300000000005,343.52149246294715,110.33270474246083,-0.013213147065287544,0.1227677689187219
6.25,10.189000000000078,16.611799999999995,335.6061814638918,116.51908554469384,0.03035998906681736,0.14256720195103248
6.5,20.811999999999895,24.9465,331.68554952207603,114.6639328374885,0.06274617640107565,0.21756187305520303
6.75,14.354000000000042,31.129200000000004,342.4516348987351,110.55338161283247,0.041915408008621716,0.28157619012521173
7.0,17.887000000000057,24.947000000000003,336.2405860408492,113.48028850652622,0.053197028385582816,0.21983553556585564
7.25,34.11699999999996,30.888700000000007,324.1461487096802,119.91596830237462,0.10525190607942925,0.2575862117221326
7.5,42.4860000000001,54.7261,325.4560739536171,113.28350757881677,0.1305429623232506,0.4830897380355603
7.75,46.770000000000095,47.3836,326.87063050061744,112.2618358516205,0.14308413064939388,0.42208110744445854
8.0,-128.134,16.2239,325.2318316032871,114.28565801265863,-0.3939774264048542,0.14195919489917966
8.25,-132.43400000000008,22.064899999999994,330.8744993816988,120.08765755197112,-0.40025447789865315,0.1837399483827122
8.5,-123.17700000000002,21.680300000000003,343.8065898585835,131.31363461492333,-0.358274110018269,0.16510319026335224
8.75,-97.07999999999991,45.42120000000001,354.0906150495848,137.35319875863883,-0.2741671082878189,0.3306890586495587
9.0,-12.313999999999965,68.0287,332.22318762775814,121.89737475715314,-0.0370654441308813,0.5580817481551871
9.25,-5.754999999999996,55.4082,334.1580016937747,124.29901751185493,-0.017222391715383575,0.44576538985688674
9.5,21.430000000000177,65.09870000000001,333.8302600133696,125.6209955044263,0.06419430041824827,0.5182151258919631
9.75,9.85800000000006,57.42329999999999,354.0305505071778,137.14713139307028,0.027845054574746914,0.41869851317139145
10.0,11.052999999999995,50.1635,354.06504908204937,140.08984795267997,0.03121742749999203,0.358080908310675
