Mes,P_SIM_max,P_RGE_max,Delta_Pmax,Q_SIM_max,Q_RGE_max,Delta_Qmax
2025-01,5325.26,4604.32,720.94,485.248,621.6,-136.352
2025-02,6198.73,5303.2,895.53,541.047,618.24,-77.193
2025-03,6133.73,5434.24,699.49,489.336,543.2,-53.864
2025-04,3793.52,3491.04,302.48,245.731,342.72,-96.9886
2025-05,3949.01,3454.08,494.93,302.055,362.88,-60.825
2025-06,4773.56,4378.08,395.48,240.768,229.6,11.1683
2025-07,5174.34,4609.92,564.42,257.23,197.12,60.1099
2025-08,4029.31,3456.32,572.99,237.207,264.32,-27.1133
2025-09,3408.34,3092.32,316.02,308.627,228.48,80.147
2025-10,4246.15,3897.6,348.55,394.298,432.32,-38.022
2025-11,5650.58,5363.68,286.9,388.071,528.64,-140.569
2025-12,5614.67,5277.44,337.23,421.839,571.2,-149.361
