segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,soc_inicial_m5_pct,soc_final_m5_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv,monitor_bessm5_csv
0,FORA_PONTA,0.0,167,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00000_FORA_PONTA.csv
1,PONTA,41.75,12,100.0,80.8644,100.0,80.8644,100.0,65.7795,100.0,66.323,100.0,66.323,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00001_PONTA.csv
2,FORA_PONTA,44.75,84,80.8644,100.0,80.8644,100.0,65.7795,100.0,66.323,100.0,66.323,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00002_FORA_PONTA.csv
3,PONTA,65.75,12,100.0,82.4615,100.0,82.4615,100.0,68.6245,100.0,69.1236,100.0,69.1236,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00003_PONTA.csv
4,FORA_PONTA,68.75,276,82.4615,100.0,82.4615,100.0,68.6245,100.0,69.1236,100.0,69.1236,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00004_FORA_PONTA.csv
5,PONTA,137.75,12,100.0,80.3715,100.0,80.3715,100.0,64.8971,100.0,65.4595,100.0,65.4595,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00005_PONTA.csv
6,FORA_PONTA,140.75,84,80.3715,100.0,80.3715,100.0,64.8971,100.0,65.4595,100.0,65.4595,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00006_FORA_PONTA.csv
7,PONTA,161.75,12,100.0,80.0563,100.0,80.0563,100.0,64.34,100.0,64.9118,100.0,64.9118,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00007_PONTA.csv
8,FORA_PONTA,164.75,84,80.0563,100.0,80.0563,100.0,64.34,100.0,64.9118,100.0,64.9118,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00008_FORA_PONTA.csv
9,PONTA,185.75,12,100.0,79.6509,100.0,79.6509,100.0,63.618,100.0,64.2078,100.0,64.2078,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM1_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM2_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM3_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM4_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 024 segmentos_pass1_sem_hvac_int_ano_2033\UFSM_Mon_BESSM5_IN_s00009_PONTA.csv
