Mes,Posto,N_pontos_SIM33,Consumo_P_SIM33_kWh,Injecao_P_SIM33_kWh,Consumo_Q_SIM33_kVArh,DemandaMax_P_SIM33_kW,DemandaMax_Inj_SIM33_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,852359.850685,22096.511775,156170.6288,3166.16,921.688,2712
JANEIRO,PONTA,264,97875.36275,0.0,12068.226325,1997.312,0.0,264
FEVEREIRO,FORA_PONTA,2448,988640.1809925,12099.125214475,160041.458345,3974.75,838.6759999999999,2448
FEVEREIRO,PONTA,240,105271.6935,0.0,12789.91035,2252.1,0.0,240
MARCO,FORA_PONTA,2736,1063061.87484375,15796.5989475,160585.64285,4515.62,920.77,2736
MARCO,PONTA,240,122425.2365,0.0,12074.32995,2714.616,0.0,240
ABRIL,FORA_PONTA,2640,793924.26827275,26492.6316825,100243.34985,2998.577,1059.143,2640
ABRIL,PONTA,240,107633.783,0.0,7638.79945,2144.247,0.0,240
MAIO,FORA_PONTA,2724,910717.55238875,19682.1280625,85806.6925575,3238.15,835.403,2724
MAIO,PONTA,252,118180.9445,0.0,7078.10124,2555.053,0.0,252
JUNHO,FORA_PONTA,2640,1087572.02125,3961.1748725,72998.7124675,4152.53,664.0840000000001,2640
JUNHO,PONTA,240,127879.94025,0.0,5889.91845,2697.127,0.0,240
JULHO,FORA_PONTA,2700,1030424.05232425,6514.11928435,63534.6997575,3997.99,878.1700000000001,2700
JULHO,PONTA,276,130172.82275,0.0,5620.20682,3229.69,0.0,276
AGOSTO,FORA_PONTA,2724,934348.328045,19411.549203,69828.7183025,3106.66,912.278,2724
AGOSTO,PONTA,252,121345.02025,0.0,6650.7165612,2419.8810000000003,0.0,252
SETEMBRO,FORA_PONTA,2616,801778.65681,11011.06064675,79851.6317725,2683.222,874.0260000000001,2616
SETEMBRO,PONTA,264,118895.10825,0.0,7634.1911,2123.854,0.0,264
OUTUBRO,FORA_PONTA,2700,777172.54339,14916.6124775,99304.13115,2991.747,1061.323,2700
OUTUBRO,PONTA,276,120776.16225,0.0,9546.918675,2255.648,0.0,276
NOVEMBRO,FORA_PONTA,2652,820162.748740075,21606.7049425,119653.9065,4212.49,1132.867,2652
NOVEMBRO,PONTA,228,109368.19575,0.0,10152.909025,2801.289,0.0,228
DEZEMBRO,FORA_PONTA,2712,867300.864804325,19800.2490575,133224.118675,3878.44,922.305,2712
DEZEMBRO,PONTA,264,109561.95925,0.0,12857.557475,2536.198,0.0,264
