Descricao,Valor
kWh fornecido (EnergyMeter kWh),12113060.0
kWh da carga (Zone kWh),15061063.0
Zone losses (Zone Losses kWh),943063.0
Perdas na linha MT (Line Losses kWh),20326.0
Perdas nos trafos (Transformer Losses kWh),922735.0
Perdas em vazio ferro (No Load Losses kWh),874011.0
Perdas em carga cobre (Transformer - NoLoad) kWh,48724.0
