Mes,Posto,N_pontos_SIM13,Consumo_P_SIM13_kWh,Consumo_Q_SIM13_kVArh,DemandaMax_P_SIM13_kW,DemandaMax_Q_SIM13_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1475885.90525,173581.053775,5125.74,613.3040000000001,2712
JANEIRO,PONTA,264,-1.109295124999999,17040.90465,0.1850409999999999,480.325,264
FEVEREIRO,FORA_PONTA,2448,1522061.1275,178089.9820575,5437.47,630.357,2448
FEVEREIRO,PONTA,240,-1.0728800249999995,18057.6944,0.233773,528.011,240
MARCO,FORA_PONTA,2736,1640597.11375,180256.85275,5569.969999999999,560.067,2736
MARCO,PONTA,240,-1.5965058499999991,18175.185525,0.235784,448.549,240
ABRIL,FORA_PONTA,2640,1254442.1575,120696.594325,5125.65,422.507,2640
ABRIL,PONTA,240,-0.9289532249999994,12645.715425,0.182941,374.27,240
MAIO,FORA_PONTA,2724,1315355.9725,110546.3132,5125.5,422.99,2724
MAIO,PONTA,252,-2.5128596999999986,12604.71565,0.2270189999999999,282.1871,252
JUNHO,FORA_PONTA,2640,1480207.270875,98102.1996775,5124.24,378.176,2640
JUNHO,PONTA,240,-2.632010649999999,12006.798975,0.2618859999999999,269.4658,240
JULHO,FORA_PONTA,2700,1472514.7225,88711.7723,5125.38,371.651,2700
JULHO,PONTA,276,-2.8638980749999994,11793.110625,0.2315419999999999,346.564,276
AGOSTO,FORA_PONTA,2724,1379366.91925,93317.776875,5125.5,388.367,2724
AGOSTO,PONTA,252,-0.6019589499999998,12351.4676,0.239634,300.4719,252
SETEMBRO,FORA_PONTA,2616,1292999.4565,101015.93665,5125.700000000001,404.862,2616
SETEMBRO,PONTA,264,-0.9121187999999995,13181.059475,0.192689,284.4962,264
OUTUBRO,FORA_PONTA,2700,1331135.712125,119421.2462225,5125.62,445.504,2700
OUTUBRO,PONTA,276,-1.185492674999999,15309.307200000001,0.204667,379.472,276
NOVEMBRO,FORA_PONTA,2652,1414977.6375,136231.680325,5508.45,522.983,2652
NOVEMBRO,PONTA,228,-1.708526799999999,15590.783575,0.228657,537.1270000000001,228
DEZEMBRO,FORA_PONTA,2712,1439118.80425,152583.5277,5415.57,559.846,2712
DEZEMBRO,PONTA,264,-1.511919749999999,18376.411825,0.214714,552.14,264
