Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM34,Consumo_P_SIM34_kWh,Injecao_P_SIM34_kWh,Consumo_Q_SIM34_kVArh,DemandaMax_P_SIM34_kW,DemandaMax_Inj_SIM34_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,728377.14947775,60068.965721,168498.5245,2864.548,1565.48,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,92991.873625,0.0,12833.445625,1972.024,0.0,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,882731.2174735001,39182.553225,169959.86923,3699.4,1545.324,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,101232.489,0.0,13447.36135,2206.225,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,954648.39259,50385.78012,172103.22605,4452.74,1648.006,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,118967.84175,0.0,12739.0203,2678.573,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,718379.822556975,62989.7009075,111306.024875,2805.13,1728.789,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,106299.125,0.0,8345.07335,2116.794,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,852654.67902105,48066.35995,96181.22175,3194.41,1468.446,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,116702.65825000001,0.0,7831.535225,2521.465,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,1018745.570953725,11218.75193,82558.319525,3994.13,1293.082,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,126243.5665,0.0,6613.2299,2661.431,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,961103.2887284,28549.973395,74157.42355,3826.34,1513.444,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,128542.34925,0.0,6475.7794,3186.07,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,863095.7209675,47784.339152,80933.5951425,3064.87,1569.923,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,119819.469,0.0,7408.7012425,2388.32,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,728109.439281,48489.2707176,91177.02525,2636.344,1565.6660000000002,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,117119.79825,0.0,8426.220425,2096.692,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,683652.1003075,52715.86818375,111367.345425,2684.394,1774.9299999999998,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,118082.3515,0.0,10360.7767,2226.532,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,706147.27867,61761.7665215,132197.112875,3866.06,1866.314,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,106314.862,0.0,10790.439475,2764.039,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,764165.51007175,59698.58015925,145059.601175,3619.15,1662.457,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,105746.68425,0.0,13587.982625,2502.858,0.0,264
