MES,R$SIM2,R$SIM34,Economia_R$,Economia_%
JAN,1128292.66,817890.05,310402.61,27.511
FEV,1195764.83,918278.17,277486.66,23.206
MAR,1273832.45,976460.51,297371.94,23.345
ABR,1015371.32,823411.55,191959.77,18.905
MAI,1051258.3,913156.77,138101.53,13.137
JUN,1144916.86,1023717.86,121199.0,10.586
JUL,1189511.26,1040787.94,148723.32,12.503
AGO,1082950.95,918369.28,164581.67,15.198
SET,1031786.29,839457.04,192329.25,18.64
OUT,1058766.29,817935.39,240830.9,22.746
NOV,1163254.84,832506.72,330748.12,28.433
DEZ,1154141.31,857777.92,296363.39,25.678
TOTAIS,13489847.359999998,10779749.200000001,2710098.16,20.08990974972752
