MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,2865,1972,728377.0,92992.0,60069.0,0.0,1565,0,0.0,0.0,60069.0,0.0,668308.0,92992.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,1028.0,94086.6,164346.48,58200.1,71106.76,0.0,0.0,109256.55,13948.8,17420.01,0.0,252079.48,54865.28,817890.05
FEV,3699,2206,882731.0,101232.0,39183.0,0.0,1545,0,0.0,0.0,39183.0,0.0,843548.0,101232.0,0.0,0.0,0.0,0.0,0.0,0.0,1301.0,794.0,121475.16,183848.04,35465.26,54920.98,0.0,0.0,132409.65,15184.8,11363.07,0.0,315247.4,59726.88,918278.17
MAR,4453,2679,954648.0,118968.0,50386.0,0.0,1648,0,0.0,0.0,50386.0,0.0,904262.0,118968.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,321.0,146236.52,223267.86,14911.22,22203.57,0.0,0.0,143197.2,17845.2,14611.94,0.0,338607.82,70191.12,976460.51
ABR,2805,2117,718380.0,106299.0,62990.0,0.0,1729,0,0.0,0.0,62990.0,0.0,655390.0,106299.0,0.0,0.0,0.0,0.0,0.0,0.0,2195.0,883.0,92116.2,176430.78,59835.7,61077.11,0.0,0.0,107757.0,15944.85,18267.1,0.0,247533.5,62716.41,823411.55
MAI,3194,2521,852655.0,116703.0,48066.0,0.0,1468,0,0.0,0.0,48066.0,0.0,804589.0,116703.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,479.0,104890.96,210100.14,49231.56,33132.43,0.0,0.0,127898.25,17505.45,13939.14,0.0,301543.21,68854.77,913156.77
JUN,3994,2661,1018746.0,126244.0,11219.0,0.0,1293,0,0.0,0.0,11219.0,0.0,1007527.0,126244.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,339.0,131162.96,221767.74,27423.56,23448.63,0.0,0.0,152811.9,18936.6,3253.51,0.0,373682.51,74483.96,1023717.86
JUL,3826,3186,961103.0,128542.0,28550.0,0.0,1513,0,0.0,0.0,28550.0,0.0,932553.0,128542.0,0.0,0.0,0.0,0.0,0.0,186.0,1174.0,0.0,125645.84,265521.24,32003.24,0.0,0.0,31002.48,144165.45,19281.3,8279.5,0.0,347328.61,75839.78,1040787.94
AGO,3065,2388,863096.0,119819.0,47784.0,0.0,1570,0,0.0,0.0,47784.0,0.0,815312.0,119819.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.0,612.0,100654.6,199015.92,52748.1,42332.04,0.0,0.0,129464.4,17972.85,13857.36,0.0,305488.16,70693.21,918369.28
SET,2636,2097,728109.0,117120.0,48489.0,0.0,1566,0,0.0,0.0,48489.0,0.0,679620.0,117120.0,0.0,0.0,0.0,0.0,0.0,0.0,2364.0,903.0,86566.24,174763.98,64442.64,62460.51,0.0,0.0,109216.35,17568.0,14061.81,0.0,255338.52,69100.8,839457.04
OUT,2684,2227,683652.0,118082.0,52716.0,0.0,1775,0,0.0,0.0,52716.0,0.0,630936.0,118082.0,0.0,0.0,0.0,0.0,0.0,0.0,2316.0,773.0,88142.56,185598.18,63134.16,53468.41,0.0,0.0,102547.8,17712.3,15287.64,0.0,237663.6,69668.38,817935.39
NOV,3866,2764,706147.0,106315.0,61762.0,0.0,1866,0,0.0,0.0,61762.0,0.0,644385.0,106315.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,236.0,126959.44,230351.76,30912.84,16324.12,0.0,0.0,105922.05,15947.25,17910.98,0.0,243363.41,62725.85,832506.72
DEZ,3619,2503,764166.0,105747.0,59699.0,0.0,1662,0,0.0,0.0,59699.0,0.0,704467.0,105747.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.0,497.0,118847.96,208600.02,37646.06,34377.49,0.0,0.0,114624.9,15862.05,17312.71,0.0,265428.71,62390.73,857777.92
TOTAIS,4453,3186,9861810.0,1358063.0,570913.0,0.0,,,,,570913.0,0.0,9290897.0,1358063.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10779749.200000001
