Descricao,Valor
kWh fornecido (EnergyMeter kWh),18238987.0
kWh da carga (Zone kWh),16536816.0
Zone losses (Zone Losses kWh),990294.0
Perdas na linha MT (Line Losses kWh),37514.0
Perdas nos trafos (Transformer Losses kWh),952779.0
Perdas em vazio ferro (No Load Losses kWh),890758.0
Perdas em carga cobre (Transformer - NoLoad) kWh,62021.0
