Mes,Posto,N_pontos_SIM12,Consumo_P_SIM12_kWh,Consumo_Q_SIM12_kVArh,DemandaMax_P_SIM12_kW,DemandaMax_Q_SIM12_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1578880.112,180848.22185,5147.9400000000005,665.142,2712
JANEIRO,PONTA,264,-3.231157399999999,18624.470475000002,0.202921,537.068,264
FEVEREIRO,FORA_PONTA,2448,1635167.94625,187588.9074425,5915.33,683.559,2448
FEVEREIRO,PONTA,240,-2.340570099999999,19997.1816,0.2074099999999999,592.602,240
MARCO,FORA_PONTA,2736,1761569.9075,189079.86975,6062.76,608.998,2736
MARCO,PONTA,240,298.68453095,20388.66375,342.879,484.18500000000006,240
ABRIL,FORA_PONTA,2640,1344184.10475,123353.79075,4860.349999999999,392.985,2640
ABRIL,PONTA,240,-1.6861117749999992,13961.442625,0.211663,418.393,240
MAIO,FORA_PONTA,2724,1407663.161,112018.402475,5030.43,424.275,2724
MAIO,PONTA,252,-2.0741863749999987,14030.34015,0.275037,311.56600000000003,252
JUNHO,FORA_PONTA,2640,1586424.264725,99529.855355,5420.1,373.317,2640
JUNHO,PONTA,240,274.5132605,13680.811675,151.4418,310.146,240
JULHO,FORA_PONTA,2700,1578294.4475,88674.9964575,5588.77,336.745,2700
JULHO,PONTA,276,2005.4480695,13037.59655,732.127,356.824,276
AGOSTO,FORA_PONTA,2724,1478816.36275,93578.2937225,5371.08,383.868,2724
AGOSTO,PONTA,252,-0.8366329749999997,13826.995695,0.204779,338.29,252
SETEMBRO,FORA_PONTA,2616,1384337.68475,101916.78505,5076.98,382.308,2616
SETEMBRO,PONTA,264,-1.5043773499999995,14586.675475,0.1934229999999999,319.942,264
OUTUBRO,FORA_PONTA,2700,1424382.16525,121714.274195,4985.639999999999,468.929,2700
OUTUBRO,PONTA,276,-1.796043849999999,16912.41355,0.217727,422.195,276
NOVEMBRO,FORA_PONTA,2652,1517026.3835,140712.802375,5995.28,567.879,2652
NOVEMBRO,PONTA,228,837.626137575,17348.765325,651.319,557.01,228
DEZEMBRO,FORA_PONTA,2712,1539054.95025,158089.117475,5894.21,606.092,2712
DEZEMBRO,PONTA,264,469.3821757,20233.753675,458.892,588.9449999999999,264
