Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
8016.0,1.89,2.09,3.95,0.675,1.69,1.77
8016.25,2.3,2.22,4.5,0.217,1.87,2.03
8016.5,2.17,2.46,4.38,0.528,2.19,2.18
8016.75,3.01,3.03,5.54,0.185,2.16,2.33
8017.0,2.25,2.19,4.36,0.103,1.8,2.03
8017.25,1.88,2.1,4.27,0.541,1.67,1.83
8017.5,2.22,2.07,4.23,0.121,1.64,1.8
8017.75,2.51,2.96,4.76,0.628,1.88,1.73
8018.0,2.69,3.2,4.54,0.584,1.86,1.59
8018.25,2.11,2.4,4.46,0.616,2.07,2.14
8018.5,2.05,1.98,4.03,0.0356,1.61,1.74
8018.75,2.37,2.28,4.31,0.134,1.79,2.01
8019.0,3.09,2.93,5.06,-0.029,1.49,1.7
8019.25,2.26,2.26,4.37,-0.087,1.46,1.51
8019.5,1.82,2.1,3.79,0.149,1.31,1.37
8019.75,2.49,2.27,4.36,-0.091,1.46,1.79
8020.0,2.25,2.45,4.17,0.284,1.63,1.66
8020.25,3.16,3.11,5.14,0.036,1.77,1.79
8020.5,2.76,2.49,4.66,-0.11,1.73,1.84
8020.75,1.7,2.16,3.55,0.233,1.39,1.13
8021.0,2.73,2.32,4.67,-0.16,1.51,1.98
8021.25,2.0,2.1,3.88,0.112,1.32,1.49
8021.5,3.48,3.59,5.56,0.129,1.77,1.86
8021.75,1.87,2.12,3.73,0.0698,1.51,1.44
8022.0,2.26,2.33,3.99,0.0859,1.73,1.33
8022.25,2.26,2.33,4.12,0.146,1.71,1.62
8022.5,2.28,2.09,4.49,0.123,1.35,1.78
8022.75,3.72,4.83,5.78,0.446,1.93,1.82
8023.0,1.54,2.69,3.61,0.362,1.42,1.37
8023.25,3.04,3.84,6.19,0.111,2.3,2.82
8023.5,2.89,7.82,7.76,-0.0071,4.77,3.83
8023.75,4.22,7.66,9.06,-0.13,4.77,4.74
8024.0,4.95,9.07,9.3,0.242,4.62,3.93
8024.25,5.17,8.6,8.72,0.193,4.23,3.2
8024.5,10.1,11.2,8.59,0.804,4.2,2.64
8024.75,9.3,13.5,10.3,1.51,4.41,2.34
8025.0,10.2,15.4,11.8,1.46,5.21,3.0
8025.25,11.9,17.6,14.9,1.76,5.78,2.68
8025.5,12.1,16.3,12.7,1.84,5.65,2.36
8025.75,11.6,14.6,11.7,2.12,5.29,1.88
8026.0,10.6,14.6,11.2,1.95,5.28,2.35
8026.25,6.41,10.4,9.91,0.842,2.54,2.07
8026.5,8.44,12.3,12.8,0.487,2.64,2.93
8026.75,6.46,12.4,11.7,0.181,2.55,2.54
8027.0,6.27,12.8,10.6,0.233,2.57,2.18
8027.25,6.71,12.3,12.2,0.366,2.69,2.38
8027.5,6.32,12.4,10.8,0.333,3.08,1.88
8027.75,7.83,12.4,11.9,0.445,2.74,3.19
8028.0,5.98,10.4,9.66,0.608,1.99,2.45
8028.25,5.21,9.28,9.14,0.754,1.8,2.1
8028.5,4.91,8.44,10.2,0.574,1.57,1.77
8028.75,5.33,9.03,11.3,0.778,1.89,1.9
8029.0,6.38,9.73,13.0,0.536,2.32,2.85
8029.25,6.22,11.4,13.3,0.583,3.25,3.56
8029.5,8.97,16.8,19.2,1.2,4.82,5.2
8029.75,10.7,16.1,20.2,1.56,4.63,5.55
8030.0,11.5,16.2,22.5,2.4,5.05,7.56
8030.25,11.8,17.0,24.2,2.44,5.22,8.87
8030.5,11.9,17.4,23.9,2.94,5.58,9.05
8030.75,7.89,13.6,21.5,2.24,4.94,7.86
8031.0,7.22,14.0,17.8,2.27,5.18,7.84
8031.25,8.31,13.9,19.0,2.99,5.99,7.86
8031.5,12.6,17.0,22.4,3.55,7.04,8.26
8031.75,15.1,16.6,24.7,5.07,7.21,9.15
8032.0,11.9,15.7,20.2,3.35,6.82,8.05
8032.25,11.0,13.1,22.8,2.96,4.46,8.68
8032.5,8.15,9.98,21.0,2.18,2.13,7.45
8032.75,7.84,10.3,14.7,2.24,2.67,3.99
8033.0,5.42,9.56,13.1,1.64,2.9,4.08
8033.25,5.27,8.99,12.4,2.16,3.17,3.85
8033.5,4.64,8.36,11.1,1.94,2.83,3.53
8033.75,5.0,8.27,11.3,2.21,2.79,3.63
8034.0,4.2,6.92,9.28,1.89,2.54,2.95
8034.25,3.42,6.67,5.58,1.03,2.17,1.89
8034.5,4.59,8.3,5.55,1.82,3.55,1.87
8034.75,6.86,9.16,5.09,2.44,5.47,1.52
8035.0,8.26,10.1,6.63,2.2,5.69,1.93
8035.25,8.35,12.2,10.5,2.28,5.99,4.73
8035.5,8.14,11.8,10.5,1.69,5.7,4.73
8035.75,7.2,11.3,9.62,2.2,5.82,4.47
8036.0,6.42,11.2,9.56,1.94,5.48,4.34
8036.25,4.03,11.8,9.37,0.968,5.97,4.28
8036.5,5.52,12.5,10.2,0.97,6.18,4.89
8036.75,3.89,9.4,6.25,0.467,5.27,2.41
8037.0,3.97,6.66,4.93,1.19,3.84,1.56
8037.25,3.39,3.89,4.26,0.948,2.14,0.886
8037.5,3.77,4.06,4.93,1.23,2.49,1.53
8037.75,5.24,4.87,6.65,0.806,2.32,2.07
8038.0,3.22,3.9,4.78,1.16,2.26,1.54
8038.25,1.73,2.92,3.66,1.03,2.36,1.45
8038.5,2.17,2.99,4.14,1.24,2.72,1.74
8038.75,2.02,3.03,3.79,1.34,2.42,1.67
8039.0,3.8,3.99,5.89,0.849,2.51,2.3
8039.25,1.8,2.84,3.71,0.954,2.09,1.28
8039.5,2.02,2.89,3.78,0.962,2.05,1.53
8039.75,2.2,3.16,4.21,0.911,2.39,1.64
8040.0,2.22,2.88,4.13,0.759,2.15,1.53
8040.25,3.7,3.94,5.7,0.815,2.46,2.37
8040.5,2.02,2.83,3.6,1.07,2.07,1.4
8040.75,2.58,2.97,4.32,0.802,2.21,1.58
8041.0,2.08,2.78,3.8,0.927,2.03,1.3
8041.25,2.19,2.64,3.96,0.607,1.88,1.48
8041.5,3.54,3.54,5.44,0.572,2.28,2.1
8041.75,1.79,2.52,3.53,0.776,1.81,1.49
8042.0,2.22,2.74,4.02,0.617,2.02,1.43
8042.25,2.1,2.97,3.87,0.978,2.44,1.81
8042.5,2.62,2.52,4.12,0.597,2.33,2.05
8042.75,3.45,3.39,5.01,0.884,2.33,2.19
8043.0,1.94,2.33,3.53,1.08,2.03,1.89
8043.25,2.29,2.37,3.96,0.628,2.15,2.16
8043.5,2.34,2.71,3.91,0.8,2.59,2.07
8043.75,2.39,2.82,4.2,0.975,2.6,2.34
8044.0,3.2,3.37,4.63,0.769,2.34,1.88
8044.25,1.65,2.15,3.05,0.822,1.93,1.48
8044.5,2.81,2.44,4.48,0.75,2.15,2.5
8044.75,1.97,2.28,3.37,0.724,2.04,1.73
8045.0,3.06,2.87,4.71,0.831,2.64,2.66
8045.25,3.46,3.49,5.19,0.612,2.44,2.45
8045.5,1.84,2.08,3.13,0.597,1.89,1.36
8045.75,2.64,2.58,4.39,0.568,2.16,2.18
8046.0,2.2,2.6,3.89,0.495,2.1,1.76
8046.25,3.2,3.02,4.86,0.436,2.01,2.18
8046.5,3.1,2.82,4.77,0.36,2.0,2.17
8046.75,2.34,2.76,3.77,0.769,1.87,1.65
8047.0,3.15,2.77,4.54,0.359,1.82,1.72
8047.25,2.39,3.13,3.88,0.687,2.18,1.4
8047.5,3.28,4.57,5.79,0.29,2.48,2.23
8047.75,3.76,5.51,6.23,0.592,2.73,2.42
8048.0,2.66,6.91,5.31,0.698,3.78,1.52
8048.25,4.13,8.35,5.82,0.678,4.76,1.8
8048.5,7.19,9.9,9.06,1.83,5.81,2.17
8048.75,9.77,12.1,11.8,1.83,6.61,2.41
8049.0,10.6,15.0,14.6,2.04,6.48,2.23
8049.25,9.13,10.3,13.2,1.98,3.96,1.88
8049.5,12.1,11.9,14.3,2.09,5.36,2.6
8049.75,9.75,13.4,17.7,1.52,6.4,4.46
8050.0,8.7,14.7,19.0,1.69,6.86,5.26
8050.25,12.3,15.4,19.7,2.09,7.3,5.55
8050.5,21.9,19.9,20.3,6.01,8.46,4.94
8050.75,21.5,20.3,18.5,5.84,7.64,4.16
8051.0,21.0,17.9,14.6,5.82,6.52,1.85
8051.25,23.1,20.3,16.7,5.84,8.14,2.54
8051.5,22.7,20.0,17.3,5.78,8.04,3.31
8051.75,19.6,18.0,15.4,5.85,7.88,2.43
8052.0,21.2,19.1,14.0,7.29,8.99,2.1
8052.25,16.9,16.1,14.0,5.52,7.46,2.46
8052.5,9.68,13.8,12.8,3.05,6.46,2.4
8052.75,8.85,10.9,15.6,3.43,4.95,3.01
8053.0,9.41,9.75,14.6,3.62,4.43,2.88
8053.25,10.8,10.7,15.2,4.03,4.36,3.23
8053.5,16.2,21.4,24.8,5.91,8.07,6.43
8053.75,17.6,26.0,26.9,7.06,10.6,8.03
8054.0,16.9,25.7,25.8,6.81,10.6,8.03
8054.25,17.6,25.7,24.9,7.34,11.0,8.11
8054.5,18.2,25.4,22.6,6.96,10.8,6.62
8054.75,18.1,22.8,16.8,6.96,9.45,3.46
8055.0,15.2,21.1,15.9,6.16,8.74,2.69
8055.25,12.5,17.0,15.0,4.55,7.11,3.01
8055.5,14.0,15.0,15.2,3.32,5.72,3.49
8055.75,18.4,15.8,17.5,4.32,7.0,4.18
8056.0,15.1,14.1,14.2,3.06,5.99,2.82
8056.25,13.7,13.8,12.8,2.5,5.48,2.33
8056.5,13.1,13.7,10.5,2.78,5.85,2.5
8056.75,13.9,14.5,10.1,2.9,6.14,2.77
8057.0,13.2,13.3,10.4,3.12,6.71,3.27
8057.25,10.4,11.6,8.59,2.3,5.75,2.22
