Descricao,Valor
kWh fornecido (EnergyMeter kWh),16641390.0
kWh da carga (Zone kWh),14901585.0
Zone losses (Zone Losses kWh),969641.0
Perdas na linha MT (Line Losses kWh),29904.0
Perdas nos trafos (Transformer Losses kWh),939733.0
Perdas em vazio ferro (No Load Losses kWh),893239.0
Perdas em carga cobre (Transformer - NoLoad) kWh,46494.0
