MES,R$SIM2,R$SIM23,Economia_R$,Economia_%
JAN,1128292.66,896975.28,231317.38,20.502
FEV,1195764.83,924949.9,270814.93,22.648
MAR,1273832.45,983463.34,290369.11,22.795
ABR,1015371.32,781388.72,233982.6,23.044
MAI,1051258.3,810630.66,240627.64,22.889
JUN,1144916.86,897762.9,247153.96,21.587
JUL,1189511.26,918293.86,271217.4,22.801
AGO,1082950.95,843697.76,239253.19,22.093
SET,1031786.29,798742.86,233043.43,22.586
OUT,1058766.29,821576.5,237189.79,22.402
NOV,1163254.84,869927.22,293327.62,25.216
DEZ,1154141.31,879400.9,274740.41,23.805
TOTAIS,13489847.359999998,10426809.900000002,3063037.4600000004,22.706242541205455
