MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4029,0,1445570,-2,0.0,0.0,0.0,0.0,132312.36,0.0,0.0,0.0,0.0,0.0,216835.5,-0.3,534860.9,-1.18,884007.28
FEV,4039,0,1498837,-3,0.0,0.0,0.0,0.0,132640.76,0.0,0.0,0.0,0.0,0.0,224825.55,-0.45,554569.69,-1.77,912033.78
MAR,4039,0,1608362,-3,0.0,0.0,0.0,0.0,132640.76,0.0,0.0,0.0,0.0,0.0,241254.3,-0.45,595093.94,-1.77,968986.78
ABR,3539,0,1232457,-1,0.0,0.0,461.0,0.0,116220.76,0.0,12566.86,0.0,0.0,0.0,184868.55,-0.15,456009.09,-0.59,769664.52
MAI,3534,0,1285083,-3,0.0,0.0,466.0,0.0,116056.56,0.0,12703.16,0.0,0.0,0.0,192762.45,-0.45,475480.71,-1.77,797000.66
JUN,4038,0,1444134,-2,0.0,0.0,0.0,0.0,132607.92,0.0,0.0,0.0,0.0,0.0,216620.1,-0.3,534329.58,-1.18,883556.12
JUL,4033,71,1447646,18,0.0,71.0,0.0,0.0,132443.72,5917.14,0.0,0.0,0.0,11834.28,217146.9,2.7,535629.02,10.62,902984.38
AGO,3535,0,1348660,-1,0.0,0.0,465.0,0.0,116089.4,0.0,12675.9,0.0,0.0,0.0,202299.0,-0.15,499004.2,-0.59,830067.76
SET,3534,0,1262219,-1,0.0,0.0,466.0,0.0,116056.56,0.0,12703.16,0.0,0.0,0.0,189332.85,-0.15,467021.03,-0.59,785112.86
OUT,3949,0,1301678,-2,0.0,0.0,51.0,0.0,129685.16,0.0,1390.26,0.0,0.0,0.0,195251.7,-0.3,481620.86,-1.18,807946.5
NOV,4039,0,1388595,-3,0.0,0.0,0.0,0.0,132640.76,0.0,0.0,0.0,0.0,0.0,208289.25,-0.45,513780.15,-1.77,854707.94
DEZ,4040,0,1408620,-3,0.0,0.0,0.0,0.0,132673.6,0.0,0.0,0.0,0.0,0.0,211293.0,-0.45,521189.4,-1.77,865153.78
TOTAIS,4040,71,16671861,-6,,,,,,,,,,,,,,,10261222.36
