MES,R$SIM2,R$SIM28,Economia_R$,Economia_%
JAN,1128292.66,884007.28,244285.38,21.651
FEV,1195764.83,912033.78,283731.05,23.728
MAR,1273832.45,968986.78,304845.67,23.931
ABR,1015371.32,769664.52,245706.8,24.199
MAI,1051258.3,797000.66,254257.64,24.186
JUN,1144916.86,883556.12,261360.74,22.828
JUL,1189511.26,902984.38,286526.88,24.088
AGO,1082950.95,830067.76,252883.19,23.351
SET,1031786.29,785112.86,246673.43,23.907
OUT,1058766.29,807946.5,250819.79,23.69
NOV,1163254.84,854707.94,308546.9,26.524
DEZ,1154141.31,865153.78,288987.53,25.039
TOTAIS,13489847.359999998,10261222.36,3228625.0,23.933740047893327
