Mes,Posto,N_pontos_SIM21,Consumo_P_SIM21_kWh,Consumo_Q_SIM21_kVArh,DemandaMax_P_SIM21_kW,DemandaMax_Q_SIM21_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1511767.65175,157433.192475,4995.200000000001,636.545,2712
JANEIRO,PONTA,264,31444.469067500002,16630.922925,1115.225,462.3670000000001,264
FEVEREIRO,FORA_PONTA,2448,1559489.63175,165995.6498275,5044.4400000000005,674.657,2448
FEVEREIRO,PONTA,240,44374.755725,17135.620275,1457.22,503.79,240
MARCO,FORA_PONTA,2736,1665733.339,164513.34275,5042.01,603.707,2736
MARCO,PONTA,240,60495.645,16357.454575,1816.253,377.741,240
ABRIL,FORA_PONTA,2640,1273318.792,100245.1706675,3885.94,348.39500000000004,2640
ABRIL,PONTA,240,38318.085775,11549.80395,1021.672,351.043,240
MAIO,FORA_PONTA,2724,1327153.5115,87706.40942,3845.96,395.545,2724
MAIO,PONTA,252,45875.6149,11097.833425,1470.269,267.7294,252
JUNHO,FORA_PONTA,2640,1489438.2026,74831.8542775,4872.650000000001,275.9907,2640
JUNHO,PONTA,240,60435.70355,9649.85675,1625.763,220.4156,240
JULHO,FORA_PONTA,2700,1490987.2005,64070.671730525,5006.05,261.6048,2700
JULHO,PONTA,276,51046.968974999996,9824.225325,2208.085,252.5409,276
AGOSTO,FORA_PONTA,2724,1393563.87675,68961.73453825,3849.4,251.4356,2724
AGOSTO,PONTA,252,49716.98400625,10609.826785,1322.572,295.8196,252
SETEMBRO,FORA_PONTA,2616,1303055.636,78317.4851825,3498.51,314.966,2616
SETEMBRO,PONTA,264,43634.96825,11852.878475,999.303,264.3349,264
OUTUBRO,FORA_PONTA,2700,1343964.3797250001,97534.583825,4340.320000000001,440.208,2700
OUTUBRO,PONTA,276,44573.1296,14088.379725,1240.455,362.56,276
NOVEMBRO,FORA_PONTA,2652,1435449.90825,117230.172375,5040.91,558.067,2652
NOVEMBRO,PONTA,228,49473.128475,14128.458525,2125.6910000000003,451.449,228
DEZEMBRO,FORA_PONTA,2712,1464523.38225,134427.492625,5041.889999999999,595.357,2712
DEZEMBRO,PONTA,264,40702.0338175,17510.12535,1933.011,483.104,264
