MES,R$SIM2,R$SIM12,Economia_R$,Economia_%
JAN,1128292.66,914855.0,213437.66,18.917
FEV,1195764.83,971689.5,224075.33,18.739
MAR,1273832.45,1045337.86,228494.59,17.938
ABR,1015371.32,802803.86,212567.46,20.935
MAI,1051258.3,834067.78,217190.52,20.66
JUN,1144916.86,917624.56,227292.3,19.852
JUL,1189511.26,931634.82,257876.44,21.679
AGO,1082950.95,867132.94,215818.01,19.929
SET,1031786.29,821694.22,210092.07,20.362
OUT,1058766.29,842278.28,216488.01,20.447
NOV,1163254.84,925459.06,237795.78,20.442
DEZ,1154141.31,925153.58,228987.73,19.841
TOTAIS,13489847.359999998,10799731.459999999,2690115.9,19.941781609603034
