MES,R$SIM2,R$SIM16,Economia_R$,Economia_%
JAN,1128292.66,1001058.91,127233.75,11.277
FEV,1195764.83,1038864.5,156900.33,13.121
MAR,1273832.45,1104859.07,168973.38,13.265
ABR,1015371.32,886547.55,128823.77,12.687
MAI,1051258.3,923187.21,128071.09,12.183
JUN,1144916.86,1015347.55,129569.31,11.317
JUL,1189511.26,1071881.16,117630.1,9.889
AGO,1082950.95,956420.6,126530.35,11.684
SET,1031786.29,904028.23,127758.06,12.382
OUT,1058766.29,929275.96,129490.33,12.23
NOV,1163254.84,1028650.26,134604.58,11.571
DEZ,1154141.31,999204.36,154936.95,13.424
TOTAIS,13489847.359999998,11859325.359999998,1630522.0000000002,12.087030760887723
