MES,R$SIM2,R$SIM31,Economia_R$,Economia_%
JAN,1128292.66,1045091.94,83200.72,7.374
FEV,1195764.83,1101261.53,94503.3,7.903
MAR,1273832.45,1164710.83,109121.62,8.566
ABR,1015371.32,963521.84,51849.48,5.106
MAI,1051258.3,1013144.47,38113.83,3.626
JUN,1144916.86,1113535.77,31381.09,2.741
JUL,1189511.26,1149244.24,40267.02,3.385
AGO,1082950.95,1038617.8,44333.15,4.094
SET,1031786.29,979518.9,52267.39,5.066
OUT,1058766.29,994152.44,64613.85,6.103
NOV,1163254.84,1043823.25,119431.59,10.267
DEZ,1154141.31,1055521.68,98619.63,8.545
TOTAIS,13489847.359999998,12662144.69,827702.6699999999,6.135745260204339
