MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,4047,2050,1102563.0,103133.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1102563.0,103133.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,950.0,132903.48,170847.0,25978.78,65711.5,0.0,0.0,165384.45,15469.95,0.0,0.0,407948.31,60848.47,1045091.94
FEV,4743,2329,1187723.0,108605.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1187723.0,108605.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,671.0,155760.12,194098.86,7005.82,46413.07,0.0,0.0,178158.45,16290.75,0.0,0.0,439457.51,64076.95,1101261.53
MAR,4907,2753,1274607.0,123938.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1274607.0,123938.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,247.0,161145.88,229435.02,2535.18,17084.99,0.0,0.0,191191.05,18590.7,0.0,0.0,471604.59,73123.42,1164710.83
ABR,3308,2108,948263.0,105792.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,948263.0,105792.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,892.0,108634.72,175680.72,46123.92,61699.64,0.0,0.0,142239.45,15868.8,0.0,0.0,350857.31,62417.28,963521.84
MAI,3259,2513,1018412.0,116170.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1018412.0,116170.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0,487.0,107025.56,209433.42,47459.66,33685.79,0.0,0.0,152761.8,17425.5,0.0,0.0,376812.44,68540.3,1013144.47
JUN,4276,2653,1183128.0,125738.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1183128.0,125738.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,347.0,140423.84,221101.02,19736.24,24001.99,0.0,0.0,177469.2,18860.7,0.0,0.0,437757.36,74185.42,1113535.77
JUL,4161,3178,1154832.0,127959.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1154832.0,127959.0,0.0,0.0,0.0,0.0,0.0,178.0,839.0,0.0,136647.24,264854.52,22871.14,0.0,0.0,29669.04,173224.8,19193.85,0.0,0.0,427287.84,75495.81,1149244.24
AGO,3301,2380,1066137.0,119287.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1066137.0,119287.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.0,620.0,108404.84,198349.2,46314.74,42885.4,0.0,0.0,159920.55,17893.05,0.0,0.0,394470.69,70379.33,1038617.8
SET,2757,2088,968931.0,117424.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,968931.0,117424.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.0,912.0,90539.88,174013.92,61144.18,63083.04,0.0,0.0,145339.65,17613.6,0.0,0.0,358504.47,69280.16,979518.9
OUT,3576,2218,979708.0,120961.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,979708.0,120961.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.0,782.0,117435.84,184848.12,38818.24,54090.94,0.0,0.0,146956.2,18144.15,0.0,0.0,362491.96,71366.99,994152.44
NOV,4813,2919,1057506.0,110664.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1057506.0,110664.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,81.0,158058.92,243269.46,5097.62,5602.77,0.0,0.0,158625.9,16599.6,0.0,0.0,391277.22,65291.76,1043823.25
DEZ,4775,2724,1083375.0,112315.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1083375.0,112315.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,276.0,156811.0,227018.16,6133.5,19090.92,0.0,0.0,162506.25,16847.25,0.0,0.0,400848.75,66265.85,1055521.68
TOTAIS,4907,3178,13025185.0,1391986.0,0.0,0.0,,,,,0.0,0.0,13025185.0,1391986.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12662144.69
