Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM31,Consumo_P_SIM31_kWh,Injecao_P_SIM31_kWh,Consumo_Q_SIM31_kVArh,DemandaMax_P_SIM31_kW,DemandaMax_Inj_SIM31_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,1102562.764,0.0,125020.863425,4047.05,0.0,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,103133.01275,0.0,9865.696675,2049.645,0.0,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,1187723.353925,0.0,133068.0059625,4742.61,0.0,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,108605.401,0.0,10772.9964,2328.792,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,1274606.7175,0.0,130433.738375,4906.9400000000005,0.0,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,123937.86,0.0,10066.1015,2753.33,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,948262.961625,0.0,73494.3672483,3307.76,0.0,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,105792.01325,0.0,5741.28615,2108.381,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,1018412.3915,0.0,60560.4447685,3259.45,0.0,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,116170.397,0.0,5099.5292537,2513.063,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,1183128.45445,0.0,49714.36780875,4276.1900000000005,0.0,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,125737.74325,0.0,4018.4074175,2653.044,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,1154831.84625,0.0,38740.416089235,4160.98,0.0,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,127959.36525,0.0,3482.651806175,3177.7200000000003,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,1066136.66015,0.0,44006.956443525,3300.6400000000003,0.0,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,119287.338,0.0,4678.1402525,2379.909,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,968931.3145,0.0,53506.403009125,2757.001,0.0,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,117424.19075,0.0,5550.75089,2088.27,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,979708.357,0.0,70877.3211275,3575.67,0.0,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,120960.50875000001,0.0,7333.318325,2218.112,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,1057506.102625,0.0,89679.5155025,4812.92,0.0,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,110663.66100000001,0.0,8290.37365,2919.355,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,1083375.301375,0.0,103760.064775,4775.48,0.0,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,112314.74625,0.0,10676.402425,2723.585,0.0,264
